coptic,greek,pmi,count,source
ⲉⲣⲙⲉⲗⲓ,ερμελι,,,loanword_only
ⲙⲉⲥⲟⲥ,μεσοσ,,,loanword_only
ⲡⲩⲗⲏ,πυλη,,,loanword_only
ⲡⲁⲧⲣⲓⲥ,πατρισ,,,loanword_only
ⲁⲣⲭⲓⲥⲑⲁⲓ,αρχισθαι,,,loanword_only
ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲏ,πνευματικη,,,loanword_only
ⲣⲡⲁⲣⲁⲅⲉ,ρπαραγε,,,loanword_only
ⲡⲣⲟⲉⲥⲧⲟⲥ,προεστοσ,,,loanword_only
ⲉⲣⲭⲣⲟⲛⲟⲥ,ερχρονοσ,,,loanword_only
ⲫⲁⲥⲅⲓⲁ,φασγια,,,loanword_only
ⲥⲩⲛⲉⲓⲇⲏⲥⲓⲥ,συνειδησισ,,,loanword_only
ⲧⲓⲙⲁ,τιμα,,,loanword_only
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ,κληρονομια,,,loanword_only
ⲁⲥⲡⲁⲍⲉ,ασπαζε,,,loanword_only
ⲁⲡⲟⲑⲏⲕⲏ,αποθηκη,,,loanword_only
ⲙⲁⲣⲅⲁⲣⲓⲧⲏⲥ,μαργαριτησ,,,loanword_only
ⲉⲣⲁⲛⲁⲭⲱⲣⲓⲛ,εραναχωριν,,,loanword_only
ⲉⲡⲁⲓⲛⲟⲩ,επαινου,,,loanword_only
ⲉⲣⲭⲣⲁⲥⲑⲉ,ερχρασθε,,,loanword_only
ⲁⲛⲁⲫⲟⲣⲁ,αναφορα,,,loanword_only
ⲁⲛⲁⲧⲟⲗⲏ,ανατολη,,,loanword_only
ⲡⲁⲣⲁⲕⲗⲏ,παρακλη,,,loanword_only
ⲣⲉⲡⲓⲥⲕⲟⲡⲟⲥ,ρεπισκοποσ,,,loanword_only
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ,προφητευε,,,loanword_only
ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ,μνταποστολοσ,,,loanword_only
ⲅⲁⲙⲟⲥ,γαμοσ,,,loanword_only
ⲉⲣⲕⲟⲥⲙⲉⲓⲛ,ερκοσμειν,,,loanword_only
ⲍⲱⲛⲧ,ζωντ,,,loanword_only
ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ,πρεσβυτεροσ,,,loanword_only
ⲁⲣⲭⲓ,αρχι,,,loanword_only
ⲕⲁⲑⲏⲅⲉⲓ,καθηγει,,,loanword_only
ⲡⲁⲣⲑⲉⲛⲓⲁ,παρθενια,,,loanword_only
ⲥⲕⲁⲫⲏ,σκαφη,,,loanword_only
ⲁⲡⲉⲭⲉ,απεχε,,,loanword_only
ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ,καφαρναουμ,,,loanword_only
ⲙⲁⲣⲧⲩⲣⲓⲁ,μαρτυρια,,,loanword_only
ⲉⲡⲓⲑⲩⲙⲉⲓ,επιθυμει,,,loanword_only
ⲗⲉⲩⲕⲱⲙⲁ,λευκωμα,,,loanword_only
ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ,αντιχριστοσ,,,loanword_only
ⲣⲉⲓⲣⲏⲛⲏ,ρειρηνη,,,loanword_only
ⲟⲓⲕⲟⲩⲙⲉⲛⲏ,οικουμενη,,,loanword_only
ⲉⲣⲭⲣⲉⲱⲥⲧⲓⲛ,ερχρεωστιν,,,loanword_only
ⲙⲉⲧⲟⲓⲕⲟⲛⲟⲙⲟⲥ,μετοικονομοσ,,,loanword_only
ⲡⲉⲣⲓⲕⲉⲫⲁⲗⲁⲓⲁ,περικεφαλαια,,,loanword_only
ⲉⲩⲧⲩⲭⲓⲁⲛⲟⲥ,ευτυχιανοσ,,,loanword_only
ⲡⲣⲉⲡⲟⲥⲓⲧⲟⲥ,πρεποσιτοσ,,,loanword_only
ⲙⲁⲛⲓⲁ,μανια,,,loanword_only
ⲫⲣⲁⲅⲓⲍⲉ,φραγιζε,,,loanword_only
ⲃⲟⲙⲱⲥ,βομωσ,,,loanword_only
ⲟⲩⲧⲉ,ουτε,,,loanword_only
ⲃⲣⲟⲩⲭⲟⲥ,βρουχοσ,,,loanword_only
ⲥⲩⲛⲅⲛⲱⲙⲏ,συνγνωμη,,,loanword_only
ⲧⲓⲙⲟⲑⲉⲟⲥ,τιμοθεοσ,,,loanword_only
ⲕⲁⲉⲡⲓⲥⲧⲏⲙⲏ,καεπιστημη,,,loanword_only
ⲉⲩⲫⲣⲁⲛⲉ,ευφρανε,,,loanword_only
ⲕⲉⲫⲁⲗⲁⲓⲟⲛ,κεφαλαιον,,,loanword_only
ⲁⲣⲓⲡⲣⲟⲫⲏⲧⲉⲩⲓⲛ,αριπροφητευιν,,,loanword_only
ⲁⲥⲑⲉⲛⲉⲓⲁ,ασθενεια,,,loanword_only
ⲉⲩⲥⲧⲁⲑⲓⲟⲥ,ευσταθιοσ,,,loanword_only
ⲉⲡⲉⲓⲑⲩⲙⲓ,επειθυμι,,,loanword_only
ⲉⲩⲧⲣⲟⲡⲓⲟⲥ,ευτροπιοσ,,,loanword_only
ⲙⲟⲓⲣⲁ,μοιρα,,,loanword_only
ⲡⲉⲝⲩⲗⲓⲕⲟⲛ,πεξυλικον,,,loanword_only
ⲧⲱⲧⲥ,τωτσ,,,loanword_only
ⲫⲓⲗⲟⲥⲟⲫⲟⲥ,φιλοσοφοσ,,,loanword_only
ⲟⲓⲕⲟⲛⲟⲙⲉⲓ,οικονομει,,,loanword_only
ⲇⲓⲕⲁⲥⲧⲏⲥ,δικαστησ,,,loanword_only
ⲁⲡⲟⲕⲁⲑⲓⲥⲧⲁ,αποκαθιστα,,,loanword_only
ⲉⲣⲙⲉⲧⲁⲛⲟⲓⲛ,ερμετανοιν,,,loanword_only
ⲉⲕⲥⲧⲁⲥⲓⲥ,εκστασισ,,,loanword_only
ⲕⲁⲕⲟⲥ,κακοσ,,,loanword_only
