coptic,greek
ⲁⲃⲁⲥⲓⲗⲉⲩⲧⲟⲥ,αβασιλευτος
ⲁⲃⲃⲁ,αββας
ⲁⲃⲉⲗⲧⲓⲟⲛ,αβερτιον
ⲁⲃⲉⲥⲧⲟⲛ,ασβεστος
ⲁⲅⲁⲑⲟⲛ,αγαθος
ⲁⲅⲁⲑⲟⲥ,αγαθος
ⲁⲅⲁⲗⲗⲓⲱⲛ,αγαλλιαω
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ,αγανακτεω
ⲁⲅⲁⲡⲁ,αγαπαω
ⲁⲅⲁⲡⲁⲛ,αγαπαω
ⲁⲅⲁⲡⲏ,αγαπη
ⲁⲅⲁⲡⲏⲧⲓⲕⲟⲥ,αγαπητικος
ⲁⲅⲁⲡⲏⲧⲟⲥ,αγαπητος
ⲁⲅⲁⲣⲓⲛⲛⲉⲟⲥ,αγαρινναιος
ⲁⲅⲅⲉⲗⲓ,αγγελλω
ⲁⲅⲅⲉⲗⲓⲕⲏ,αγγελικος
ⲁⲅⲅⲉⲗⲓⲕⲟⲛ,αγγελικος
ⲁⲅⲅⲉⲗⲓⲕⲟⲥ,αγγελικος
ⲁⲅⲅⲉⲗⲟⲡⲣⲟⲥⲱⲡⲟⲛ,αγγελοπροσωπον
ⲁⲅⲅⲉⲗⲟⲥ,αγγελος
ⲁⲅⲅⲉⲗⲟⲩ,αγγελος
ⲁⲅⲅⲓⲟⲛ,αγγειον
ⲁⲅⲉ,αγω
ⲁⲅⲉⲗⲏ,αγελη
ⲁⲅⲉⲛⲛⲏⲧⲟⲛ,αγεννητος
ⲁⲅⲉⲛⲛⲏⲧⲟⲥ,αγεννητος
ⲁⲅⲓⲁ,αγιος
ⲁⲅⲓⲟⲥ,αγιος
ⲁⲅⲛⲓⲁ,αγνεια
ⲁⲅⲛⲱⲙⲏⲥⲩⲛⲏ,αγνωμοσυνη
ⲁⲅⲛⲱⲙⲟⲛ,αγνωμων
ⲁⲅⲛⲱⲥⲧⲟⲥ,αγνωστος
ⲁⲅⲟⲣⲁ,αγορα
ⲁⲅⲟⲣⲁⲓⲟⲥ,αγοραιος
ⲁⲅⲟⲣⲁⲥⲓⲁ,αγορασια
ⲁⲅⲣⲓⲟⲛ,αγριος
ⲁⲅⲣⲓⲟⲥ,αγριος
ⲁⲅⲱⲅⲏ,αγωγη
ⲁⲅⲱⲛⲓⲁ,αγωνια
ⲁⲅⲱⲛⲓⲍⲉ,αγωνιζομαι
ⲁⲅⲱⲛⲓⲍⲉⲥⲑⲉ,αγωνιζομαι
ⲁⲅⲱⲛⲓⲥⲧⲏⲥ,αγωνιστης
ⲁⲅⲱⲛⲟⲑⲉⲧⲏⲥ,αγωνοθετης
ⲁⲇⲁⲙⲁⲛⲧⲓⲛⲏ,αδαμαντινος
ⲁⲇⲁⲙⲁⲛⲧⲟⲥ,αδαμαντος
ⲁⲇⲏⲗⲟⲥ,αδηλος
ⲁⲇⲓⲁⲕⲣⲓⲧⲟⲥ,αδιακριτος
ⲁⲇⲓⲁⲕⲱⲗⲩⲧⲱⲥ,αδιακωλυτως
ⲁⲇⲓⲕⲁⲓⲟⲥ,αδικαιος
ⲁⲇⲓⲕⲓⲁ,αδικια
ⲁⲇⲓⲕⲟⲛ,αδικος
ⲁⲇⲓⲕⲟⲥ,αδικος
ⲁⲇⲓⲕⲱⲥ,αδικως
ⲁⲇⲓⲽⲓ,αδικεω
ⲁⲇⲩⲛⲁⲧⲟⲥ,αδυνατος
ⲁⲉⲓ,αει
ⲁⲉⲣⲟⲇⲓⲟⲥ,αεροδιος
ⲁⲉⲧⲟⲥ,αετος
ⲁⲏⲣ,αηρ
ⲁⲑⲁⲛⲁⲥⲓⲁ,αθανασια
ⲁⲑⲁⲛⲁⲧⲟⲛ,αθανατος
ⲁⲑⲁⲛⲁⲧⲟⲥ,αθανατος
ⲁⲑⲉⲧⲉⲓ,αθετεω
ⲁⲑⲉⲧⲓⲛ,αθετεω
ⲁⲑⲏⲛⲁⲓⲟⲥ,αθηναιος
ⲁⲑⲗⲏⲥⲓⲥ,αθλησις
ⲁⲑⲗⲏⲧⲏⲥ,αθλητης
ⲁⲑⲗⲟⲛ,αθλον
ⲁⲑⲗⲟⲫⲟⲣⲟⲥ,αθλοφορος
ⲁⲑⲩⲗⲓⲕⲟⲥ,υλικος
ⲁⲑⲩⲛⲁ,αθηνη
ⲁⲑⲩⲣⲁⲥ,αθηρα
ⲁⲓⲅⲩⲡⲧⲓⲁⲕⲟⲛ,αιγυπτιακος
ⲁⲓⲇⲓⲟⲥ,αιδιος
ⲁⲓⲇⲟⲓⲟⲛ,αιδοιον
ⲁⲓⲑⲣⲓⲟⲛ,αιθριον
ⲁⲓⲛⲓⲅⲙⲁ,αινιγμα
ⲁⲓⲡⲉⲛⲟⲥ,επαινος
ⲁⲓⲥⲑⲁⲛⲉ,αισθανομαι
ⲁⲓⲥⲑⲏⲥⲓⲥ,αισθησις
ⲁⲓⲥⲑⲏⲧⲏⲣⲓⲟⲛ,αισθητηριον
ⲁⲓⲥⲑⲏⲧⲏⲥ,αισθητης
ⲁⲓⲥⲑⲏⲧⲟⲛ,αισθητος
ⲁⲓⲥⲑⲏⲧⲟⲥ,αισθητος
ⲁⲓⲧⲉⲓ,αιτεω
ⲁⲓⲧⲏⲙⲁ,αιτημα
ⲁⲓⲧⲓⲁ,αιτια
ⲁⲓⲧⲓⲟⲛ,αιτιον
ⲁⲓⲧⲓⲟⲥ,αιτιος
ⲁⲓⲭⲙⲁⲗⲱⲥⲓⲁ,αιχμαλωσια
ⲁⲓⲭⲙⲁⲗⲱⲧⲉⲩⲉ,αιχμαλωτευω
ⲁⲓⲭⲙⲁⲗⲱⲧⲓⲍⲉ,αιχμαλωτιζω
ⲁⲓⲭⲙⲁⲗⲱⲧⲟⲥ,αιχμαλωτος
ⲁⲓⲱⲛ,αιων
ⲁⲓⲱⲛⲓⲟⲛ,αιωνιος
ⲁⲓⲱⲛⲓⲟⲥ,αιωνιος
ⲁⲕⲁⲑⲁⲣⲥⲓⲁ,ακαθαρσια
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ,ακαθαρτος
ⲁⲕⲁⲑⲁⲣⲧⲟⲥ,ακαθαρτος
ⲁⲕⲁⲓⲣⲱⲥ,ακαιρος
ⲁⲕⲁⲕⲓⲁ,ακακια
ⲁⲕⲁⲕⲓⲁⲥ,ακακια
ⲁⲕⲁⲕⲟⲥ,ακακος
ⲁⲕⲁⲛⲁⲅⲧⲏⲥⲓⲥ,αγανακτησις
ⲁⲕⲁⲣⲡⲟⲥ,ακαρπος
ⲁⲕⲁⲧⲁⲅⲛⲱⲥⲧⲟⲥ,ακαταγνωστος
ⲁⲕⲉⲣⲁⲓⲟⲛ,ακεραιος
ⲁⲕⲉⲣⲁⲓⲟⲥ,ακεραιος
ⲁⲕⲗⲏⲧⲟⲛ,ακλητος
ⲁⲕⲙⲏ,ακμη
ⲁⲕⲙⲏⲛ,ακμην
ⲁⲕⲟⲗⲗⲟⲩⲑⲓⲁ,ακολουθια
ⲁⲕⲟⲗⲟⲩⲑⲏⲥⲓⲥ,ακολουθησις
ⲁⲕⲟⲗⲟⲩⲑⲓⲁ,ακολουθια
ⲁⲕⲣⲁⲧⲟⲛ,ακρατος
ⲁⲕⲣⲓⲃⲁⲍⲉ,ακριβαζω
ⲁⲕⲣⲓⲃⲏⲥ,ακριβης
ⲁⲕⲣⲓⲃⲓⲁ,ακριβεια
ⲁⲕⲣⲓⲃⲱⲥ,ακριβως
ⲁⲕⲣⲓⲥ,ακρις
ⲁⲕⲣⲟⲁⲧⲏⲥ,ακροατης
ⲁⲕⲣⲟⲃⲩⲥⲧⲓⲁ,ακροβυστια
ⲁⲕⲧⲓⲛ,ακτιν
ⲁⲕⲩⲣⲟⲩ,ακυροω
ⲁⲕⲱⲗⲩⲧⲱⲥ,ακωλυτως
ⲁⲕⲱⲛⲉ,ακονη
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲛ,αλαβαστρον
ⲁⲗⲉⲕⲧⲟⲥ,αλεκτος
ⲁⲗⲉⲕⲧⲱⲣ,αλεκτωρ
ⲁⲗⲏⲑⲉⲓⲁ,αληθεια
ⲁⲗⲏⲑⲓⲛⲏ,αληθινος
ⲁⲗⲏⲑⲓⲛⲟⲛ,αληθινος
ⲁⲗⲏⲑⲓⲛⲟⲥ,αληθινος
ⲁⲗⲏⲑⲱⲥ,αληθες
ⲁⲗⲗⲁ,αλλα
