coptic_lemma,greek_form,count
ⲇⲉ,δε,10646
ⲅⲁⲣ,γαρ,3734
ⲁⲗⲗⲁ,αλλα,2602
ⲕⲁⲧⲁ,κατα,2410
ⲟⲩⲇⲉ,ουδε,1545
ⲯⲩⲭⲏ,ψυχη,1443
ⲭⲣⲓⲥⲧⲟⲥ,χριστοσ,1418
ⲗⲁⲟⲥ,λαοσ,1313
ⲹⲓⲛⲁ,ⲹινα,1225
ⲙⲩⲥⲧⲏⲣⲓⲟⲛ,μυστηριον,1141
ⲥⲱⲙⲁ,σωμα,1036
ⲕⲟⲥⲙⲟⲥ,κοσμοσ,877
ⲁⲣⲭⲱⲛ,αρχων,864
ⲡⲛⲉⲩⲙⲁ,πνευμα,811
ⲙⲏ,μη,800
ⲁⲅⲅⲉⲗⲟⲥ,αγγελοσ,787
ⲹⲉⲑⲛⲟⲥ,ⲹεθνοσ,756
ⲧⲟⲡⲟⲥ,τοποσ,749
ⲙⲁⲑⲏⲧⲏⲥ,μαθητησ,640
ⲹⲱⲥ,ⲹωσ,603
ⲡⲣⲟⲫⲏⲧⲏⲥ,προφητησ,576
ⲙⲉⲛ,μεν,527
ⲥⲁⲣⲝ,σαρξ,509
ⲧⲟⲧⲉ,τοτε,497
ⲛⲟⲙⲟⲥ,νομοσ,483
ⲥⲟⲫⲓⲁ,σοφια,468
ⲹⲁⲅⲓⲟⲥ,ⲹαγιοσ,450
ⲡⲟⲗⲓⲥ,πολισ,435
ⲥⲱⲧⲏⲣ,σωτηρ,420
ⲹⲱⲥⲧⲉ,ⲹωστε,366
ⲡⲓⲥⲧⲓⲥ,πιστισ,362
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ,αποστολοσ,359
ⲉⲕⲕⲗⲏⲥⲓⲁ,εκκλησια,352
ⲥⲩⲛⲁⲅⲱⲅⲏ,συναγωγη,336
ⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ,αρχαγγελοσ,332
ⲁⲛⲟⲙⲓⲁ,ανομια,332
ⲁⲓⲱⲛ,αιων,332
ⲉⲓⲧⲉ,ειτε,328
ⲁⲅⲁⲡⲏ,αγαπη,323
ⲉⲛⲧⲟⲗⲏ,εντολη,310
ⲡⲩⲗⲏ,πυλη,282
