hebrew,greek,count
יהוה,κυριοσ,2881
מלכ,βασιλευσ,1150
בנ,υιοσ,1097
ישראל,ισραηλ,973
עמ,λαοσ,803
בני,υιοσ,783
אלהימ,θεοσ,704
דוד,δαυιδ,691
אלה,θεοσ,647
אמר,λεγω,534
יומ,ημερα,526
שמ,ονομα,504
שמ,εκει,363
שאול,σαυλοσ,358
יד,χειρ,349
משה,μωυσησ,341
הנה,ιδου,334
יהי,γιγνομαι,332
מצרימ,αιγυπτοσ,324
בית,οικοσ,322
נפש,ψυχη,316
יכ,θεοσ,308
אבי,πατηρ,302
יכמ,υμω,295
דרכ,οδοσ,289
יעקב,ιακωβ,280
איש,ανηρ,272
עשה,ποιεω,271
עיר,πολισ,268
יד,χει,267
ינו,ημω,262
אדנ,κυριοσ,255
שמימ,ουρανοσ,252
פנ,προσωπον,241
פרעה,φαραω,229
מימ,υδωρ,224
עולמ,αιω,216
אח,αδελφοσ,214
כמ,υμω,213
הר,οροσ,212
קול,φωνη,210
עינ,οφθαλμοσ,207
איש,ανθρωποσ,204
לב,καρδια,204
דבר,λαλεω,201
אלהי,θεοσ,199
דבר,λογοσ,197
נו,ημω,195
פני,προσωπον,191
יומ,σημερον,191
אשה,γυνη,185
בינ,μεσοσ,184
אחי,αδελφοσ,183
שלמה,σολομων,182
עבד,παισ,179
דויד,δαυιδ,178
יוספ,ιωσηφ,172
נתנ,διδωμι,170
ירושלמ,ιεροσολυμα,169
מאד,σφοδρα,166
אברהמ,αβρααμ,164
כנ,ουτω(σ),163
קדש,αγιοσ,162
יהוה,θεοσ,159
יהודה,ιουδασ,159
ימימ,ημερα,156
אדמ,ανθρωποσ,156
מקומ,τοποσ,155
חסד,ελεοσ,154
כמ,υμι,153
ברית,διαθηκη,150
לבב,καρδια,149
יקח,λαμβανω,147
אהרנ,ααρων,147
נו,ημι,146
ימ,θαλασσα,142
יואב,ιωαβ,141
זרע,σπερμα,140
לחמ,αρτοσ,140
נו,ημα,140
יו,υιοσ,139
אשת,γυνη,138
מזבח,θυσιαστηριον,137
ראש,κεφαλη,132
בת,θυγατηρ,130
שמואל,σαμουηλ,130
אב,πατηρ,129
עשית,ποιεω,127
יתנ,διδωμι,127
מלחמה,πολεμοσ,125
כמ,υμα,122
מדבר,ερημοσ,122
כספ,αργυριον,121
יקרא,καλεω,120
צאנ,προβατον,117
יו,αδελφοσ,115
עשות,ποιεω,114
זהב,χρυσιον,113
אבת,πατηρ,113
לילה,νυξ,111
אדני,κυριοσ,111
בקר,πρωι,110
יעש,ποιεω,110
גדול,μεγασ,110
פלשתימ,αλλοφυλοσ,109
אלה,ημω,108
אלה,ταυ,107
גוימ,εθνοσ,107
יצחק,ισαακ,104
ינו,θεοσ,103
עבד,δου,103
מלכות,βασιλεια,102
טוב,αγαθοσ,101
ישלח,αποστελλω,100
פי,στομα,99
שנה,ετοσ,98
מצרימ,αιγυπτιοσ,98
רוח,πνευ,97
שני,δυο,96
