hebrew,greek,score,hebrew_gloss,greek_gloss
אדם,ἄνθρωπος,1.333,"human, mankind",people
על,ἐπί,1.000,upon,upon
מים,ὕδωρ,1.000,water,water
בדל,χωρίς,1.000,separate,except
בין,διάστημα,1.000,interval,interval
תוך,μέσος,1.000,midst,centre
מקוה,εἴσπραξις,1.000,collection,collection
זרע,σπείρω,1.000,sow,sown
רביעי,τέταρτος,1.000,fourth,fourth day
נפש,ψυχή,1.000,soul,mind
ברך,εὐλογέω,1.000,bless,bless
חמישי,πέμπτος,1.000,fifth,fifteenth
נקבה,θῆλυς,1.000,female,female
ששי,ἕκτος,1.000,sixth,sixteenth
שביעי,ἕβδομος,1.000,seventh,seventeenth
אף,ῥίς,1.000,nose,nostril
ארבע,τέσσαρες,1.000,four,forty
חדקל,τίγρις,1.000,Tigris,tigris
עזר,ἐπίκουρος,1.000,"help, helper",mercenary
נגד,ἀντίστροφος,1.000,counterpart,counterpart
סגר,ἐγγύς,1.000,close,kin
אשה,γυνή,1.000,woman,lady
אם,μήτηρ,1.000,mother,mother
פן,μή,1.000,lest,unless
נשא,θέλγω,1.000,lift,beguile
איבה,ἔχθρη,1.000,enmity,quarrel
תשוקה,ὁρμή,1.000,impulse,impulse
כתנת,χιτών,1.000,tunic,coat
יד,χείρ,1.000,hand,arm
עולם,αἰών,1.000,eternity,life
נשא,αἴρω,1.000,lift,raise
מקנה,ὠνέομαι,1.000,purchase,purchase
חלל,μιαίνω,1.000,defile,defile
שמנה,ὀκτώ,1.000,eight,eight
תשע,ἐννέα,1.000,nine,nine
חמש,πέντε,1.000,five,fifty
שש,ἕξ,1.000,six,six
נחם,παραμυθέομαι,1.000,"repent, console",console
חן,χάρις,1.000,grace,favour
מבול,ἐπομβρία,1.000,deluge,deluge
ברית,συνθήκη,1.000,covenant,contract
יקום,οὐσία,1.000,substance,wealth
חדש,μείς,1.000,month,course
הר,ὄρος,1.000,mountain,hill
כף,φοῖνιξ,1.000,palm,scarlet
חרף,μετόπωρον,1.000,autumn,autumn
כרם,ἀμπελών,1.000,vineyard,vineyard
יקץ,ἐγείρω,1.000,awake,arouse
יון,ἑλλάς,1.000,Greece,greece
לשון,γλῶσσα,1.000,tongue,language
צידון,σιδών,1.000,Sidon,sidonians
פוץ,διαλύω,1.000,disperse,settlement
עזה,γάζα,1.000,Gaza,gaza
חמר,ἄσφαλτος,1.000,bitumen,asphalt
מגדל,πύργος,1.000,tower,wall
בלל,συγχέω,1.000,"moisten, confound",confound
ברכה,ἀγαθός,1.000,blessing,benefit
נטה,μέχρι,1.000,extend,far
כבד,βαρύς,1.000,heavy,grievous
גמל,κάμηλος,1.000,camel,camel
משקה,οἰνοχόος,1.000,"butler, irrigated, drink",butler
מנה,ἀριθμέω,1.000,count,count
רדף,διώκω,1.000,pursue,prosecute
שכר,μισθόω,1.000,hire,lease
עגלה,βοῦς,1.000,cow,bull
איל,τύραννος,1.000,"ram, despot",despot
שמש,ἥλιος,1.000,sun,helios
קבר,θάπτω,1.000,bury,funeral
ברח,ἀποδιδράσκω,1.000,run away,run away from
מלאך,ἄγγελος,1.000,messenger,tidings
המון,θόρυβος,1.000,commotion,clamor
לו,εἴθε,1.000,if only,if only
מהר,ἐπείγω,1.000,hasten,made haste
יאל,ἄρχω,1.000,begin,office
לין,κατάγω,1.000,lodge,brought back
אפה,ὀπτάω,1.000,bake,bake
צל,σκιά,1.000,shadow,shade
חסד,εὔνοια,1.000,loyalty,favor
נאם,λόγος,1.000,speech,reason
סחר,περιέρχομαι,1.000,go about,circumvent
כד,πρόχοος,1.000,pitcher,pitcher
בתולה,παρθένος,1.000,virgin,maid
תבן,καλάμη,1.000,straw,straw
מספוא,χόρτος,1.000,fodder,grass
נקי,ἀναίτιος,1.000,innocent,innocent
טירה,στρατοπεδεία,1.000,encampment,encampment
אדמני,ἐρυθρός,1.000,red,ruddy
בזה,καταφρονέω,1.000,despise,scorn
מצוה,ἐντολή,1.000,commandment,commandment
חנה,στρατοπεδεύω,1.000,encamp,pitch
טל,δρόσος,1.000,dew,dew
דגן,σῖτος,1.000,corn,meat
הוה,γίγνομαι,1.000,become,become
נדר,εὔχομαι,1.000,vow,prayer
חבק,ἀσπάζομαι,1.000,embrace,embrace
זבל,ἀνέχω,1.000,tolerate,bear
גנב,κλέπτω,1.000,steal,steal
עטוף,ἀσθενής,1.000,feeble,weaken
נשג,καταλαμβάνω,1.000,overtake,occupy
טריפה,λεῖος,1.000,prey,prey
בקש,ζητέω,1.000,seek,investigate
לולא,μή,1.000,unless,unless
מחנה,στρατόπεδον,1.000,camp,army
נבלה,ἀμαθία,1.000,stupidity,stupidity
כברה,τείνω,1.000,stretch,stretch
קבורה,τάφος,1.000,grave,funeral
בור,φρέαρ,1.000,cistern,cistern
טבל,βάπτω,1.000,dip,dip
אלמנה,χήρα,1.000,widow,widow
דק,λεπτός,1.000,thin,thin
חרטם,μάγος,1.000,magician,mago
גלח,ξυρέω,1.000,shave,shave
דבש,μέλι,1.000,honey,honey
צהרים,μεσημβρία,1.000,noon,mesambria
שן,ὀδών,1.000,tooth,tusk
נשך,δάκνω,1.000,bite,sting
זאב,λύκος,1.000,wolf,lycus
חנט,ταριχεύω,1.000,embalm,embalm
זנב,οὐρά,1.000,tail,tail
מולה,περιτομή,1.000,circumcision,circumcision
תכן,ποσός,1.000,quantity,quantitative
צפרדע,βάτραχος,1.000,frog,frog
פאר,δοξάζω,1.000,glorify,opinion
רוחה,βοήθεια,1.000,relief,relief
אצבע,δάκτυλος,1.000,finger,dactyli
פדות,λύτρον,1.000,redemption,ransom for
זרק,ῥίπτω,1.000,toss,threw down
עוז,καταφεύγω,1.000,take refuge,refuge
שערה,κριθή,1.000,barley,barley
מוקש,δέλεαρ,1.000,bait,bait
פרסה,ὁπλή,1.000,hoof,hoof
כלב,κύων,1.000,dog,hound
כרעים,κνήμη,1.000,shank,shank
פסח,πάσχα,1.000,Passover,passover
זכרון,μνήμη,1.000,remembrance,remember
שבי,αἰχμάλωτος,1.000,captive,prisoner
רגלי,πεζός,1.000,on foot,land
אופן,τροχός,1.000,wheel,wheel
מצולה,βάθος,1.000,depth,solid
הרס,καθαιρέω,1.000,tear down,tear down
נד,ἕρκος,1.000,barrier,fence
מקדש,ἱερά,1.000,sanctuary,sacred rites
סיר,χύτρα,1.000,pot,- pot
שלו,ὄρτυξ,1.000,quail,quail
