# Tesserae V6 Hebrew-Latin Cross-Lingual Dictionary
# Built by bridging hebrew_greek.csv (He->Grc, CATSS-derived) through
# greek_latin + perseus_greek_latin (Grc->La). Format: hebrew,latin (one pair/line).
# Purpose: Hebrew Bible <-> Latin Vulgate (and wider Latin corpus) cross-lingual search.
אב,pater
אב,genitor
אב,parens
אב,paternus
אב,mos
אב,consuetudo
אב,patrimonium
אבא,intro
אבא,introeo
אבא,ingredior
אבד,pereo
אבד,perdo
אבד,amitto
אבד,mors
אבד,deleo
אבד,intereo
אבד,ruina
אבד,disperdo
אבד,interfacio
אבד,morior
אבד,exitium
אבד,occaedes
אבד,perimo
אבדתמ,pereo
אבדתמ,perdo
אבדתמ,amitto
אבדתמ,mors
אבדתמ,deleo
אבדתמ,intereo
אבדתמ,ruina
אבדתמ,disperdo
אבדתמ,interfacio
אבדתמ,morior
אבדתמ,exitium
אבה,uolo
אבה,difficultas
אבה,egestas
אבה,uix
אבה,paupertas
אבה,volo
אבה,cupio
אבה,opto
אבה,uoluntas
אבה,placeo
אבה,cupiditas
אבה,eligo
אבה,deligo
אבה,obsecro
אבה,ligo
אבה,vincio
אבה,necto
אבה,opus
אבה,postulo
אבה,rogo
אבה,peto
אבה,oro
אבה,necesse
אבה,quaero
אבה,quaeso
אבה,necessarius
אבה,interrogo
אבה,recuso
אבה,utinam
אבהת,pater
אבהת,genitor
אבהת,parens
אבהת,paternus
אבו,volo
אבו,cupio
אבו,opto
אבו,uoluntas
אבו,placeo
אבו,cupiditas
אבו,eligo
אבו,deligo
אבו,obsecro
אבו,pater
אבו,genitor
אבו,parens
אבו,paternus
אבוא,intro
אבוא,introeo
אבוא,ingredior
אבוא,redeo
אבוא,reuorto
אבות,pater
אבות,genitor
אבות,parens
אבות,paternus
אבי,pater
אבי,genitor
אבי,parens
אבי,paternus
אבי,filius
אבי,natus
אבי,gnatus
אבי,progenies
אבי,proles
אביא,duco
אביא,ago
אביא,affero
אביא,adduco
אביא,educo
אביא,fero
אביא,deduco
אביא,induco
אביא,defero
אביא,introduco
אביא,infero
אביא,offertor
אביב,navis
אביב,puppis
אביב,carina
אביב,ratis
אביב,classis
אביון,pauper
אביון,miser
אביונ,miser
אביר,dea
אביר,hercules
אביר,uis
אביר,robur
אביר,fortitudo
אבירימ,taurus
אבירימ,bos
אבירימ,uitulus
אבירימ,taurinus
אבל,plenus
אבל,quidem
אבל,lugeo
אבל,maereo
אבל,luctus
אבל,maeror
אבל,dolor
אבל,porta
אבל,ianua
אבל,fores
אבל,limen
אבל,ostium
אבנ,lapis
אבנ,saxum
אבנ,marmor
אבנ,marmoreus
אבנ,gemma
אבנט,cingulum
אבנט,balteus
אבני,lapis
אבני,saxum
אבני,marmor
אבני,marmoreus
אבני,gemma
אבנימ,lapis
אבנימ,saxum
אבנימ,marmor
אבנימ,marmoreus
אבנימ,gemma
אבעא,peto
אבקש,peto
אבקשה,peto
אבר,ala
אבר,columna
אבר,penna
אברה,edo
אברה,comedo
