# Perseus Dynamic Lexicon — Greek-Latin pairs NOT in existing Tesserae dictionary
# Filtered: score >= 25, single-char words removed
# Sigma normalized (ς→σ), Latin u/v normalized (v→u)
# 3001 novel pairs (of 4187 total filtered)
# Format: greek,latin
περί,de
δύο,duo
ἥμεροσ,dies
δοκέω,uideo
χρῆμα,pecunia
αὐτόσ,sui
τρεῖσ,tres
τισ,unus
εἷσ,unus
στρατιώτησ,miles
ἐγώ,ego
στρατόπεδον,castrum
αἴτιοσ,causa
πᾶσ,totus
διά,quia
πολύσ,magnus
ὕπατοσ,consul
δέκα,decem
νόμοσ,ius
ἐπί,contra
μᾶλλον,potis
φαίνω,uideo
ἄλλοσ,reliquus
κύριοσ,dominus
λίθοσ,lapis
τισ,ullus
προφήτησ,propheta
τισ,homo
μόνοσ,solus
διά,propter
ἔοικα,uideo
ἑαυτοῦ,ipse
σύγκλητοσ,senatus
τέλοσ,legio
ἄλλοσ,ceterus
οὖν,ergo
Αἴγυπτοσ,Aegyptus
ἄνθρωποσ,populus
πρᾶγμα,res
Αἴγυπτοσ,Aegyptius
πολλάκισ,saepis
πρόσ,contra
χωρίον,locus
ἐν,inter
ἄλλοσ,alter
τάλαντον,talentum
ῥᾴδιοσ,facilis
χρῆμα,argentum
ὀνομάζω,nomen
πόλισ,publicus
κρίνω,iudex
τεῖχοσ,paries
στράτευμα,exercitus
πλῆθοσ,multitudo
ἥσσων,paruus
ὅπλον,arma
ἀργύριον,pecunia
ἕνεκα,causa
τισ,quisquam
φίλιπποσ,Philippus
χίλιοι,mille
μέγασ,multus
ἐλπίσ,spero
μόνοσ,unus
ὄμμα,oculus
ἄξιοσ,dignus
δέω,opus
βάρβαροσ,barbarus
πρότεροσ,prior
φίλιοσ,amicitia
τότε,tempus
μᾶλλον,magus
μήτε,neque
τισ,quidam
τισ,uir
ἵπποσ,eques
βωμόσ,altar
οὖν,igitur
τέχνη,ars
δίκαιοσ,iudicium
ἑκατόν,centum
τάγμα,legio
οὔτε,neque
γῆ,ager
οὕτωσ,uia
δώδεκα,duodecim
πατρῷοσ,pater
ἅπασ,totus
ἐμαυτοῦ,ego
στόμα,aurum
ἵνα,iubeo
οὕτωσ,sic
μέγασ,superus
ποτέ,umquam
ἀναγκάζω,cogo
τύραννοσ,tyrannus
κατά,iuxta
κατά,contra
παιδίον,filius
ἕτεροσ,unus
ἀποστέλλω,mitto
μυριάσ,mille
ἴσοσ,par
χρή,debeo
πόσισ,uir
κελεύω,iubeo
ἀνήρ,qui
μέσοσ,medion
ἄστυ,ciuitas
γένοσ,familia
τισ,nullus
πλῆθοσ,turba
ἀναγιγνώσκω,lego
δεύτεροσ,alter
πολύσ,longus
μέντοι,tamen
ἀεί,umquam
δικαιοσύνη,iudicium
εἰ,siue
βιβλίον,liber
ἐλάσσων,paruus
ὀστέον,ossum
λαόσ,exercitus
ψευδήσ,fallo
ναῦσ,classis
λιμόσ,fames
οὐρανόσ,caelus
φημί,respondeo
ποτέ,numquam
κλύω,audio
Ἀθηναῖοσ,Athenae
μιμνήσκω,memini
χρή,oportet
εἶδον,ecce
ῥήτωρ,orator
ἔλαιον,oleum
μάλιστα,praesertim
ἐπιστολή,littera
εἰ,an
ἴσοσ,fortasse
εἶπον,loquor
ψήφισμα,decerno
καλέω,nomen
γράμμα,epistula
τισ,alter
ἀποθνήσκω,mors
παρά,inter
ἐπιστήμη,scientia
βίοσ,anima
οἴκοι,domus
δήμαρχοσ,tribunus
ἄγαλμα,imago
κατήγοροσ,accusator
τοιοῦτοσ,genus
ἀνήρ,iste
οἷοσ,possum
λίθοσ,saxum
τισ,certus
τισ,aliquis
θεόσ,dea
ἐπαρχία,prouincia
ἐν,apud
εἷσ,alter
διά,causa
δύναμισ,exercitus
γονεύσ,parens
παῖσ,filia
αἱρέω,uolo
χώρα,finis
γάμοσ,nuptiae
πούσ,Pedum
κινδυνεύω,periculum
ἀπόλλυμι,pereo
πλῆθοσ,populus
πατήρ,paternus
ἔθνοσ,prouincia
ἐξουσία,auctoritas
ἀμφί,de
δύναμισ,copia
μισέω,odi
δικαστήσ,iudex
πᾶσ,uniuersus
χρυσίον,aurum
μῖσοσ,odium
οἰκέτησ,seruus
δοκέω,credo
ἱερόσ,templum
πολύσ,diu
σώζω,saluus
μάχη,acies
ἐλπίζω,spes
δύναμισ,uis
ἄρχω,magistratus
μέλι,mel
λόφοσ,collis
θεόσ,caelum
πλείων,magnus
τοιοῦτοσ,modus
μαθητόσ,discipulus
ἐκπέμπω,mitto
μάλιστα,princeps
ἐννέα,nouo
θεῖοσ,deus
βουλή,concilium
φόβοσ,timeo
υἱόσ,nascor
πάπποσ,auus
ἑξακόσιοι,sescenti
ἄγαλμα,simulacrum
ἐπαινέω,laus
ἄνθρωποσ,qui
ἡγέομαι,credo
μανθάνω,intellego
νύμφη,nymphe
καλόσ,nobilis
νεανίσκοσ,adulescens
παῖσ,nascor
πονηρία,scelus
μέλλω,de
Αἰγύπτιοσ,Aegyptius
δίκαιοσ,iustus
θνήσκω,mors
κάρα,caput
εὖ,bonus
ἐπί,super
χρῆμα,nummus
ναόσ,aedes
μέχρι,donec
ἀληθήσ,etenim
ἔρωσ,amo
ἀξίωμα,dignitas
στρατόσ,miles
λόφοσ,mons
ἄνθρωποσ,humanus
οὐδείσ,ullus
ἥμεροσ,hodie
πλεῖστοσ,magnus
κῆποσ,hortus
ὅπλον,bracchium
πρόβατον,ouis
εἰκών,statua
δικαστήριον,iudicium
φίλοσ,familiaris
στρατόπεδον,exercitus
ἕνεκα,propter
φάρμακον,uenenum
ἱππεύσ,equus
οἰκία,aedes
ἀποκτείνω,mors
ὑποψία,suspicio
σῖτοσ,panis
πόλεμοσ,arma
ὥσπερ,quasi
