filename,author,work,era,meter,genre,confidence
adamnan.de_locis_santis.tess,adamnan,de_locis_santis,Early Medieval,prose,technical,auto
aethelwulf.carmen_de_abbatibus.tess,aethelwulf,carmen_de_abbatibus,Carolingian,unknown,medieval,auto
agius_of_corvey.epicedium_hathumodae.tess,agius_of_corvey,epicedium_hathumodae,Carolingian,unknown,medieval,auto
agius_of_corvey.versus_computistici.tess,agius_of_corvey,versus_computistici,Carolingian,unknown,medieval,auto
agnellus_ravennatis.liber_pontificalis.tess,agnellus_ravennatis,liber_pontificalis,Carolingian,prose,historiography,auto
aimoin_of_saint_germain.carmen_de_translatione_vincentii.tess,aimoin_of_saint_germain,carmen_de_translatione_vincentii,Carolingian,unknown,medieval,auto
alcuin.carmina.part.1.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.10.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.102.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.11.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.111.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.112.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.113.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.115.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.116.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.118.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.119.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.12.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.120.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.121.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.122.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.123.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.124.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.13.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.14.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.15.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.16.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.17.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.18.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.19.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.2.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.20.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.21.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.22.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.23.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.24.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.25.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.26.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.27.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.28.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.3.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.31.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.32.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.34.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.35.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.36.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.37.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.38.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.39.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.4.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.40.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.41.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.42.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.43.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
alcuin.carmina.part.44.tess,alcuin,carmina,Carolingian,unknown,medieval,auto
