rank,convergence_bonus,idf_floor,idf_threshold,conv_idf_power,min_idf_threshold,min_idf_penalty,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold
1,1.0,0.05,0.5,1.0,0.0,1.0,0.2123,0.0905,183,78,862
2,1.0,0.05,0.5,2.0,0.0,1.0,0.2123,0.0905,183,78,862
3,1.0,0.05,0.5,3.0,0.0,1.0,0.2123,0.0905,183,78,862
4,1.0,0.1,0.5,1.0,0.0,1.0,0.2123,0.0905,183,78,862
5,1.0,0.1,0.5,2.0,0.0,1.0,0.2123,0.0905,183,78,862
6,1.0,0.1,0.5,3.0,0.0,1.0,0.2123,0.0905,183,78,862
7,0.25,0.2,1.0,1.0,0.0,1.0,0.2123,0.0847,183,73,862
8,0.25,0.2,1.0,2.0,0.0,1.0,0.2123,0.0847,183,73,862
9,0.25,0.2,1.0,3.0,0.0,1.0,0.2123,0.0847,183,73,862
10,0.25,0.2,1.5,2.0,0.0,1.0,0.2123,0.0847,183,73,862
11,0.25,0.2,1.5,3.0,0.0,1.0,0.2123,0.0835,183,72,862
12,0.75,0.2,0.5,1.0,0.0,1.0,0.2111,0.0928,182,80,862
13,0.75,0.2,0.5,2.0,0.0,1.0,0.2111,0.0928,182,80,862
14,0.75,0.2,0.5,3.0,0.0,1.0,0.2111,0.0928,182,80,862
15,1.0,0.2,0.5,1.0,0.0,1.0,0.2111,0.0905,182,78,862
16,1.0,0.2,0.5,2.0,0.0,1.0,0.2111,0.0905,182,78,862
17,1.0,0.2,0.5,3.0,0.0,1.0,0.2111,0.0905,182,78,862
18,0.5,0.2,1.0,3.0,0.0,1.0,0.2111,0.0835,182,72,862
19,0.5,0.1,1.0,2.0,0.0,1.0,0.2111,0.0824,182,71,862
20,0.5,0.2,1.0,1.0,0.0,1.0,0.2111,0.0824,182,71,862
21,0.5,0.1,1.0,3.0,0.0,1.0,0.2111,0.0812,182,70,862
22,0.75,0.2,1.0,1.0,0.0,1.0,0.2111,0.0812,182,70,862
23,0.75,0.2,1.0,2.0,0.0,1.0,0.2111,0.0800,182,69,862
24,0.25,0.2,1.5,1.0,0.0,1.0,0.2100,0.0847,181,73,862
25,0.5,0.2,1.0,2.0,0.0,1.0,0.2100,0.0835,181,72,862
26,0.5,0.1,1.0,1.0,0.0,1.0,0.2100,0.0824,181,71,862
27,0.0,0.2,1.0,1.0,0.0,1.0,0.2088,0.0847,180,73,862
28,0.0,0.2,1.0,2.0,0.0,1.0,0.2088,0.0847,180,73,862
29,0.0,0.2,1.0,3.0,0.0,1.0,0.2088,0.0847,180,73,862
30,0.25,0.05,1.0,2.0,0.0,1.0,0.2088,0.0847,180,73,862
31,0.25,0.1,1.0,1.0,0.0,1.0,0.2088,0.0847,180,73,862
32,0.0,0.1,1.0,1.0,0.0,1.0,0.2088,0.0824,180,71,862
33,0.0,0.1,1.0,2.0,0.0,1.0,0.2088,0.0824,180,71,862
34,0.0,0.1,1.0,3.0,0.0,1.0,0.2088,0.0824,180,71,862
35,0.5,0.2,1.5,1.0,0.0,1.0,0.2088,0.0824,180,71,862
36,0.25,0.1,1.5,2.0,0.0,1.0,0.2088,0.0812,180,70,862
37,0.25,0.1,1.5,3.0,0.0,1.0,0.2088,0.0800,180,69,862
38,0.5,0.1,0.5,1.0,0.0,1.0,0.2077,0.0974,179,84,862
39,0.5,0.1,0.5,2.0,0.0,1.0,0.2077,0.0974,179,84,862
40,0.5,0.1,0.5,3.0,0.0,1.0,0.2077,0.0974,179,84,862
41,0.5,0.2,0.5,1.0,0.0,1.0,0.2077,0.0974,179,84,862
42,0.5,0.2,0.5,2.0,0.0,1.0,0.2077,0.0974,179,84,862
43,0.5,0.2,0.5,3.0,0.0,1.0,0.2077,0.0974,179,84,862
44,0.75,0.05,0.5,1.0,0.0,1.0,0.2077,0.0928,179,80,862
45,0.75,0.05,0.5,2.0,0.0,1.0,0.2077,0.0928,179,80,862
46,0.75,0.05,0.5,3.0,0.0,1.0,0.2077,0.0928,179,80,862
47,0.75,0.1,0.5,1.0,0.0,1.0,0.2077,0.0928,179,80,862
48,0.75,0.1,0.5,2.0,0.0,1.0,0.2077,0.0928,179,80,862
49,0.75,0.1,0.5,3.0,0.0,1.0,0.2077,0.0928,179,80,862
50,0.25,0.2,2.0,1.0,0.0,1.0,0.2077,0.0882,179,76,862
51,0.25,0.2,2.0,2.0,0.0,1.0,0.2077,0.0870,179,75,862
52,0.25,0.05,1.0,1.0,0.0,1.0,0.2077,0.0858,179,74,862
53,0.25,0.1,1.0,2.0,0.0,1.0,0.2077,0.0858,179,74,862
54,0.25,0.1,1.0,3.0,0.0,1.0,0.2077,0.0847,179,73,862
55,0.0,0.2,1.5,1.0,0.0,1.0,0.2077,0.0835,179,72,862
56,0.0,0.2,1.5,2.0,0.0,1.0,0.2077,0.0835,179,72,862
57,0.0,0.2,1.5,3.0,0.0,1.0,0.2077,0.0835,179,72,862
58,0.25,0.05,1.0,3.0,0.0,1.0,0.2077,0.0835,179,72,862
59,1.0,0.2,1.5,2.0,0.0,1.0,0.2077,0.0835,179,72,862
60,0.5,0.2,1.5,2.0,0.0,1.0,0.2077,0.0824,179,71,862
61,0.75,0.2,1.0,3.0,0.0,1.0,0.2077,0.0800,179,69,862
62,0.5,0.2,2.0,1.0,0.0,1.0,0.2065,0.0870,178,75,862
63,0.25,0.2,2.0,3.0,0.0,1.0,0.2065,0.0847,178,73,862
64,0.5,0.2,2.0,2.0,0.0,1.0,0.2065,0.0847,178,73,862
65,0.5,0.2,2.0,3.0,0.0,1.0,0.2065,0.0847,178,73,862
66,0.75,0.2,1.5,1.0,0.0,1.0,0.2065,0.0847,178,73,862
67,0.75,0.2,2.0,1.0,0.0,1.0,0.2065,0.0847,178,73,862
68,0.75,0.2,1.5,2.0,0.0,1.0,0.2065,0.0835,178,72,862
69,0.0,0.05,1.0,1.0,0.0,1.0,0.2065,0.0824,178,71,862
70,0.0,0.05,1.0,2.0,0.0,1.0,0.2065,0.0824,178,71,862
71,0.0,0.05,1.0,3.0,0.0,1.0,0.2065,0.0824,178,71,862
72,0.5,0.05,1.0,2.0,0.0,1.0,0.2065,0.0824,178,71,862
73,0.5,0.2,1.5,3.0,0.0,1.0,0.2065,0.0824,178,71,862
74,0.5,0.05,1.0,3.0,0.0,1.0,0.2065,0.0812,178,70,862
