nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,13,6,117,6,308,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.117.6
Heb,13,6,117,7,308,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.117.7
Heb,13,6,117,8,308,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.117.8
Heb,13,6,117,9,308,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.117.9
Heb,13,6,26,1,221,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.26.1
Heb,13,6,26,2,221,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.26.2
Heb,13,6,26,3,221,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.26.3
Heb,13,6,123,8,172,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.123.8
Heb,13,6,55,4,159,novum_testamentum.ad_hebraeos.13.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.55.4
Heb,3,7,94,7,136,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.7
Heb,3,7,94,8,136,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.8
Heb,3,7,94,9,136,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.9
Heb,3,7,94,10,136,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.10
