rom_ref,isa_ref,note
sahidica.romans.2.24,sahidic.isaiah.52.5,as it is written
sahidica.romans.3.15,sahidic.isaiah.59.7,catena of 3.10-18
sahidica.romans.3.16,sahidic.isaiah.59.7,catena
sahidica.romans.3.17,sahidic.isaiah.59.8,catena
sahidica.romans.9.27,sahidic.isaiah.10.22,Isaiah cries out
sahidica.romans.9.28,sahidic.isaiah.10.23,continuation
sahidica.romans.9.29,sahidic.isaiah.1.9,as Isaiah predicted
sahidica.romans.9.33,sahidic.isaiah.28.16,as it is written
sahidica.romans.9.33,sahidic.isaiah.8.14,conflated citation
sahidica.romans.10.11,sahidic.isaiah.28.16,scripture says
sahidica.romans.10.15,sahidic.isaiah.52.7,as it is written
sahidica.romans.10.16,sahidic.isaiah.53.1,Isaiah says
sahidica.romans.10.20,sahidic.isaiah.65.1,Isaiah is bold to say
sahidica.romans.10.21,sahidic.isaiah.65.2,continuation
sahidica.romans.11.8,sahidic.isaiah.29.10,as it is written
sahidica.romans.11.26,sahidic.isaiah.59.20,as it is written
sahidica.romans.11.27,sahidic.isaiah.59.21,continuation
sahidica.romans.11.27,sahidic.isaiah.27.9,conflated citation
sahidica.romans.11.34,sahidic.isaiah.40.13,who has known the mind
sahidica.romans.14.11,sahidic.isaiah.45.23,as it is written
sahidica.romans.15.12,sahidic.isaiah.11.10,Isaiah says
sahidica.romans.15.21,sahidic.isaiah.52.15,as it is written
