nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Matt,6,33,33,9,360,sahidica.matthew.6.33,sahidic.psalms.33.9
Matt,6,33,33,10,360,sahidica.matthew.6.33,sahidic.psalms.33.10
Heb,13,6,117,6,308,sahidica.hebrews.13.6,sahidic.psalms.117.6
Heb,13,6,117,7,308,sahidica.hebrews.13.6,sahidic.psalms.117.7
Heb,13,6,117,8,308,sahidica.hebrews.13.6,sahidic.psalms.117.8
Heb,13,6,117,9,308,sahidica.hebrews.13.6,sahidic.psalms.117.9
Matt,6,33,83,11,263,sahidica.matthew.6.33,sahidic.psalms.83.11
Matt,6,33,83,12,263,sahidica.matthew.6.33,sahidic.psalms.83.12
Heb,13,6,26,1,221,sahidica.hebrews.13.6,sahidic.psalms.26.1
Heb,13,6,26,2,221,sahidica.hebrews.13.6,sahidic.psalms.26.2
Heb,13,6,26,3,221,sahidica.hebrews.13.6,sahidic.psalms.26.3
Matt,6,33,36,25,186,sahidica.matthew.6.33,sahidic.psalms.36.25
Heb,13,6,123,8,172,sahidica.hebrews.13.6,sahidic.psalms.123.8
Matt,6,33,36,3,168,sahidica.matthew.6.33,sahidic.psalms.36.3
Matt,13,35,77,2,159,sahidica.matthew.13.35,sahidic.psalms.77.2
Heb,13,6,55,4,159,sahidica.hebrews.13.6,sahidic.psalms.55.4
Matt,7,7,144,18,151,sahidica.matthew.7.7,sahidic.psalms.144.18
Matt,7,7,144,19,151,sahidica.matthew.7.7,sahidic.psalms.144.19
Matt,24,35,88,34,144,sahidica.matthew.24.35,sahidic.psalms.88.34
Matt,5,6,106,9,138,sahidica.matthew.5.6,sahidic.psalms.106.9
Heb,3,7,94,7,136,sahidica.hebrews.3.7,sahidic.psalms.94.7
Heb,3,7,94,8,136,sahidica.hebrews.3.7,sahidic.psalms.94.8
Heb,3,7,94,9,136,sahidica.hebrews.3.7,sahidic.psalms.94.9
Heb,3,7,94,10,136,sahidica.hebrews.3.7,sahidic.psalms.94.10
Heb,3,7,94,11,136,sahidica.hebrews.3.7,sahidic.psalms.94.11
Heb,13,6,55,11,134,sahidica.hebrews.13.6,sahidic.psalms.55.11
Heb,13,6,55,12,134,sahidica.hebrews.13.6,sahidic.psalms.55.12
Heb,13,6,53,4,130,sahidica.hebrews.13.6,sahidic.psalms.53.4
Matt,6,33,36,18,124,sahidica.matthew.6.33,sahidic.psalms.36.18
Matt,6,33,36,19,124,sahidica.matthew.6.33,sahidic.psalms.36.19
Heb,13,6,32,20,123,sahidica.hebrews.13.6,sahidic.psalms.32.20
Matt,5,3,33,18,122,sahidica.matthew.5.3,sahidic.psalms.33.18
Heb,13,6,62,7,118,sahidica.hebrews.13.6,sahidic.psalms.62.7
Matt,4,6,90,11,112,sahidica.matthew.4.6,sahidic.psalms.90.11
Matt,4,6,90,12,112,sahidica.matthew.4.6,sahidic.psalms.90.12
Heb,4,12,118,130,111,sahidica.hebrews.4.12,sahidic.psalms.118.130
Matt,24,35,101,26,107,sahidica.matthew.24.35,sahidic.psalms.101.26
Heb,13,6,93,17,106,sahidica.hebrews.13.6,sahidic.psalms.93.17
Heb,13,6,39,17,105,sahidica.hebrews.13.6,sahidic.psalms.39.17
Matt,5,5,36,11,99,sahidica.matthew.5.5,sahidic.psalms.36.11
Matt,5,8,23,4,97,sahidica.matthew.5.8,sahidic.psalms.23.4
Matt,5,8,50,10,93,sahidica.matthew.5.8,sahidic.psalms.50.10
Heb,1,8,44,6,92,sahidica.hebrews.1.8,sahidic.psalms.44.6
Heb,1,8,44,7,92,sahidica.hebrews.1.8,sahidic.psalms.44.7
Matt,24,35,18,7,90,sahidica.matthew.24.35,sahidic.psalms.18.7
Heb,13,6,26,9,87,sahidica.hebrews.13.6,sahidic.psalms.26.9
Heb,11,6,104,3,85,sahidica.hebrews.11.6,sahidic.psalms.104.3
Heb,11,6,104,4,85,sahidica.hebrews.11.6,sahidic.psalms.104.4
Heb,13,6,113,1,85,sahidica.hebrews.13.6,sahidic.psalms.113.1
Heb,13,6,113,2,85,sahidica.hebrews.13.6,sahidic.psalms.113.2
Heb,13,6,113,3,85,sahidica.hebrews.13.6,sahidic.psalms.113.3
Heb,13,6,113,4,85,sahidica.hebrews.13.6,sahidic.psalms.113.4
Heb,13,6,113,5,85,sahidica.hebrews.13.6,sahidic.psalms.113.5
Heb,13,6,113,6,85,sahidica.hebrews.13.6,sahidic.psalms.113.6
Heb,13,6,113,7,85,sahidica.hebrews.13.6,sahidic.psalms.113.7
Heb,13,6,113,8,85,sahidica.hebrews.13.6,sahidic.psalms.113.8
Heb,13,6,113,9,85,sahidica.hebrews.13.6,sahidic.psalms.113.9
Heb,13,6,113,10,85,sahidica.hebrews.13.6,sahidic.psalms.113.10
Heb,13,6,113,11,85,sahidica.hebrews.13.6,sahidic.psalms.113.11
Heb,13,6,113,12,85,sahidica.hebrews.13.6,sahidic.psalms.113.12
Heb,13,6,113,13,85,sahidica.hebrews.13.6,sahidic.psalms.113.13
Heb,13,6,113,14,85,sahidica.hebrews.13.6,sahidic.psalms.113.14
Heb,13,6,113,15,85,sahidica.hebrews.13.6,sahidic.psalms.113.15
Heb,13,6,113,16,85,sahidica.hebrews.13.6,sahidic.psalms.113.16
Heb,13,6,113,17,85,sahidica.hebrews.13.6,sahidic.psalms.113.17
Heb,13,6,113,18,85,sahidica.hebrews.13.6,sahidic.psalms.113.18
Heb,13,6,113,19,85,sahidica.hebrews.13.6,sahidic.psalms.113.19
Heb,13,6,113,20,85,sahidica.hebrews.13.6,sahidic.psalms.113.20
Heb,13,6,113,21,85,sahidica.hebrews.13.6,sahidic.psalms.113.21
Heb,13,6,113,22,85,sahidica.hebrews.13.6,sahidic.psalms.113.22
Heb,13,6,113,23,85,sahidica.hebrews.13.6,sahidic.psalms.113.23
Heb,13,6,113,24,85,sahidica.hebrews.13.6,sahidic.psalms.113.24
Heb,13,6,113,25,85,sahidica.hebrews.13.6,sahidic.psalms.113.25
Heb,13,6,113,26,85,sahidica.hebrews.13.6,sahidic.psalms.113.26
Matt,27,46,21,1,83,sahidica.matthew.27.46,sahidic.psalms.21.1
Heb,11,1,26,13,80,sahidica.hebrews.11.1,sahidic.psalms.26.13
Heb,13,6,145,3,79,sahidica.hebrews.13.6,sahidic.psalms.145.3
Heb,13,5,36,25,76,sahidica.hebrews.13.5,sahidic.psalms.36.25
Matt,11,28,114,1,73,sahidica.matthew.11.28,sahidic.psalms.114.1
Matt,11,28,114,2,73,sahidica.matthew.11.28,sahidic.psalms.114.2
Matt,11,28,114,3,73,sahidica.matthew.11.28,sahidic.psalms.114.3
Matt,11,28,114,4,73,sahidica.matthew.11.28,sahidic.psalms.114.4
Matt,11,28,114,5,73,sahidica.matthew.11.28,sahidic.psalms.114.5
Matt,11,28,114,6,73,sahidica.matthew.11.28,sahidic.psalms.114.6
Matt,11,28,114,7,73,sahidica.matthew.11.28,sahidic.psalms.114.7
Matt,11,28,114,8,73,sahidica.matthew.11.28,sahidic.psalms.114.8
Matt,11,28,114,9,73,sahidica.matthew.11.28,sahidic.psalms.114.9
Matt,11,28,115,1,73,sahidica.matthew.11.28,sahidic.psalms.115.1
Matt,11,28,115,2,73,sahidica.matthew.11.28,sahidic.psalms.115.2
Matt,11,28,115,3,73,sahidica.matthew.11.28,sahidic.psalms.115.3
Matt,11,28,115,4,73,sahidica.matthew.11.28,sahidic.psalms.115.4
Matt,11,28,115,5,73,sahidica.matthew.11.28,sahidic.psalms.115.5
Matt,11,28,115,6,73,sahidica.matthew.11.28,sahidic.psalms.115.6
Matt,11,28,115,7,73,sahidica.matthew.11.28,sahidic.psalms.115.7
Matt,11,28,115,8,73,sahidica.matthew.11.28,sahidic.psalms.115.8
Matt,11,28,115,9,73,sahidica.matthew.11.28,sahidic.psalms.115.9
Matt,11,28,115,10,73,sahidica.matthew.11.28,sahidic.psalms.115.10
Matt,21,42,117,22,73,sahidica.matthew.21.42,sahidic.psalms.117.22
Matt,21,42,117,23,73,sahidica.matthew.21.42,sahidic.psalms.117.23
Heb,1,5,2,7,70,sahidica.hebrews.1.5,sahidic.psalms.2.7
Matt,5,3,50,17,68,sahidica.matthew.5.3,sahidic.psalms.50.17
Heb,13,6,17,1,68,sahidica.hebrews.13.6,sahidic.psalms.17.1
Heb,13,6,17,2,68,sahidica.hebrews.13.6,sahidic.psalms.17.2
Matt,5,45,144,9,67,sahidica.matthew.5.45,sahidic.psalms.144.9
Heb,11,6,118,10,66,sahidica.hebrews.11.6,sahidic.psalms.118.10
Matt,6,25,54,22,63,sahidica.matthew.6.25,sahidic.psalms.54.22
Matt,21,16,8,2,61,sahidica.matthew.21.16,sahidic.psalms.8.2
Heb,13,8,89,2,61,sahidica.hebrews.13.8,sahidic.psalms.89.2
Heb,13,8,101,27,61,sahidica.hebrews.13.8,sahidic.psalms.101.27
Heb,13,8,101,28,61,sahidica.hebrews.13.8,sahidic.psalms.101.28
Matt,7,7,9,1,56,sahidica.matthew.7.7,sahidic.psalms.9.1
Matt,7,7,9,2,56,sahidica.matthew.7.7,sahidic.psalms.9.2
Matt,7,7,9,3,56,sahidica.matthew.7.7,sahidic.psalms.9.3
Matt,7,7,9,4,56,sahidica.matthew.7.7,sahidic.psalms.9.4
Matt,7,7,9,5,56,sahidica.matthew.7.7,sahidic.psalms.9.5
Matt,7,7,9,6,56,sahidica.matthew.7.7,sahidic.psalms.9.6
Matt,7,7,9,7,56,sahidica.matthew.7.7,sahidic.psalms.9.7
Matt,7,7,9,8,56,sahidica.matthew.7.7,sahidic.psalms.9.8
Matt,7,7,9,9,56,sahidica.matthew.7.7,sahidic.psalms.9.9
Matt,7,7,9,10,56,sahidica.matthew.7.7,sahidic.psalms.9.10
Matt,7,7,9,11,56,sahidica.matthew.7.7,sahidic.psalms.9.11
Matt,7,7,9,12,56,sahidica.matthew.7.7,sahidic.psalms.9.12
Matt,7,7,9,13,56,sahidica.matthew.7.7,sahidic.psalms.9.13
Matt,7,7,9,14,56,sahidica.matthew.7.7,sahidic.psalms.9.14
Matt,7,7,9,15,56,sahidica.matthew.7.7,sahidic.psalms.9.15
Matt,7,7,9,16,56,sahidica.matthew.7.7,sahidic.psalms.9.16
Matt,7,7,9,17,56,sahidica.matthew.7.7,sahidic.psalms.9.17
Matt,7,7,9,18,56,sahidica.matthew.7.7,sahidic.psalms.9.18
Matt,7,7,9,19,56,sahidica.matthew.7.7,sahidic.psalms.9.19
Matt,7,7,9,20,56,sahidica.matthew.7.7,sahidic.psalms.9.20
Matt,7,7,9,21,56,sahidica.matthew.7.7,sahidic.psalms.9.21
Matt,7,7,9,22,56,sahidica.matthew.7.7,sahidic.psalms.9.22
Matt,7,7,9,23,56,sahidica.matthew.7.7,sahidic.psalms.9.23
Matt,7,7,9,24,56,sahidica.matthew.7.7,sahidic.psalms.9.24
Matt,7,7,9,25,56,sahidica.matthew.7.7,sahidic.psalms.9.25
Matt,7,7,9,26,56,sahidica.matthew.7.7,sahidic.psalms.9.26
Matt,7,7,9,27,56,sahidica.matthew.7.7,sahidic.psalms.9.27
Matt,7,7,9,28,56,sahidica.matthew.7.7,sahidic.psalms.9.28
Matt,7,7,9,29,56,sahidica.matthew.7.7,sahidic.psalms.9.29
Matt,7,7,9,30,56,sahidica.matthew.7.7,sahidic.psalms.9.30
Matt,7,7,9,31,56,sahidica.matthew.7.7,sahidic.psalms.9.31
Matt,7,7,9,32,56,sahidica.matthew.7.7,sahidic.psalms.9.32
Matt,7,7,9,33,56,sahidica.matthew.7.7,sahidic.psalms.9.33
Matt,7,7,9,34,56,sahidica.matthew.7.7,sahidic.psalms.9.34
Matt,7,7,9,35,56,sahidica.matthew.7.7,sahidic.psalms.9.35
Matt,7,7,9,36,56,sahidica.matthew.7.7,sahidic.psalms.9.36
Matt,7,7,9,37,56,sahidica.matthew.7.7,sahidic.psalms.9.37
Matt,7,7,9,38,56,sahidica.matthew.7.7,sahidic.psalms.9.38
Heb,10,36,36,7,56,sahidica.hebrews.10.36,sahidic.psalms.36.7
Heb,10,7,39,7,55,sahidica.hebrews.10.7,sahidic.psalms.39.7
Heb,10,7,39,8,55,sahidica.hebrews.10.7,sahidic.psalms.39.8
Heb,11,1,41,11,55,sahidica.hebrews.11.1,sahidic.psalms.41.11
Heb,3,7,80,13,54,sahidica.hebrews.3.7,sahidic.psalms.80.13
Matt,5,6,144,19,52,sahidica.matthew.5.6,sahidic.psalms.144.19
Matt,5,9,119,6,52,sahidica.matthew.5.9,sahidic.psalms.119.6
Matt,7,7,104,3,51,sahidica.matthew.7.7,sahidic.psalms.104.3
Matt,7,7,104,4,51,sahidica.matthew.7.7,sahidic.psalms.104.4
Heb,4,12,149,6,51,sahidica.hebrews.4.12,sahidic.psalms.149.6
Matt,5,5,149,4,49,sahidica.matthew.5.5,sahidic.psalms.149.4
Matt,19,26,61,11,47,sahidica.matthew.19.26,sahidic.psalms.61.11
Heb,1,7,103,4,46,sahidica.hebrews.1.7,sahidic.psalms.103.4
Heb,1,10,101,25,45,sahidica.hebrews.1.10,sahidic.psalms.101.25
Heb,1,10,101,26,45,sahidica.hebrews.1.10,sahidic.psalms.101.26
Heb,1,10,101,27,45,sahidica.hebrews.1.10,sahidic.psalms.101.27
Heb,10,5,39,6,45,sahidica.hebrews.10.5,sahidic.psalms.39.6
Heb,10,5,39,7,45,sahidica.hebrews.10.5,sahidic.psalms.39.7
Heb,10,5,39,8,45,sahidica.hebrews.10.5,sahidic.psalms.39.8
Heb,13,5,36,28,45,sahidica.hebrews.13.5,sahidic.psalms.36.28
Heb,13,8,102,17,44,sahidica.hebrews.13.8,sahidic.psalms.102.17
Matt,5,4,125,5,43,sahidica.matthew.5.4,sahidic.psalms.125.5
Matt,5,4,125,6,43,sahidica.matthew.5.4,sahidic.psalms.125.6
Matt,7,24,110,10,42,sahidica.matthew.7.24,sahidic.psalms.110.10
Heb,11,6,72,28,42,sahidica.hebrews.11.6,sahidic.psalms.72.28
Matt,7,7,26,8,41,sahidica.matthew.7.7,sahidic.psalms.26.8
Heb,2,6,8,4,41,sahidica.hebrews.2.6,sahidic.psalms.8.4
Heb,2,6,8,5,41,sahidica.hebrews.2.6,sahidic.psalms.8.5
Heb,2,6,8,6,41,sahidica.hebrews.2.6,sahidic.psalms.8.6
Heb,2,6,8,7,41,sahidica.hebrews.2.6,sahidic.psalms.8.7
Heb,2,6,8,8,41,sahidica.hebrews.2.6,sahidic.psalms.8.8
Heb,4,13,32,13,41,sahidica.hebrews.4.13,sahidic.psalms.32.13
Heb,4,13,32,14,41,sahidica.hebrews.4.13,sahidic.psalms.32.14
Heb,4,13,32,15,41,sahidica.hebrews.4.13,sahidic.psalms.32.15
Matt,5,6,41,1,40,sahidica.matthew.5.6,sahidic.psalms.41.1
Matt,5,6,41,2,40,sahidica.matthew.5.6,sahidic.psalms.41.2
Heb,1,9,44,7,40,sahidica.hebrews.1.9,sahidic.psalms.44.7
Heb,4,12,138,2,40,sahidica.hebrews.4.12,sahidic.psalms.138.2
Matt,6,26,146,1,39,sahidica.matthew.6.26,sahidic.psalms.146.1
Matt,6,26,146,2,39,sahidica.matthew.6.26,sahidic.psalms.146.2
Matt,6,26,146,3,39,sahidica.matthew.6.26,sahidic.psalms.146.3
Matt,6,26,146,4,39,sahidica.matthew.6.26,sahidic.psalms.146.4
Matt,6,26,146,5,39,sahidica.matthew.6.26,sahidic.psalms.146.5
Matt,6,26,146,6,39,sahidica.matthew.6.26,sahidic.psalms.146.6
Matt,6,26,146,7,39,sahidica.matthew.6.26,sahidic.psalms.146.7
Matt,6,26,146,8,39,sahidica.matthew.6.26,sahidic.psalms.146.8
Matt,6,26,146,9,39,sahidica.matthew.6.26,sahidic.psalms.146.9
Matt,6,26,146,10,39,sahidica.matthew.6.26,sahidic.psalms.146.10
Matt,6,26,146,11,39,sahidica.matthew.6.26,sahidic.psalms.146.11
Matt,6,26,147,1,39,sahidica.matthew.6.26,sahidic.psalms.147.1
Matt,6,26,147,2,39,sahidica.matthew.6.26,sahidic.psalms.147.2
Matt,6,26,147,3,39,sahidica.matthew.6.26,sahidic.psalms.147.3
Matt,6,26,147,4,39,sahidica.matthew.6.26,sahidic.psalms.147.4
Matt,6,26,147,5,39,sahidica.matthew.6.26,sahidic.psalms.147.5
Matt,6,26,147,6,39,sahidica.matthew.6.26,sahidic.psalms.147.6
Matt,6,26,147,7,39,sahidica.matthew.6.26,sahidic.psalms.147.7
Matt,6,26,147,8,39,sahidica.matthew.6.26,sahidic.psalms.147.8
Matt,6,26,147,9,39,sahidica.matthew.6.26,sahidic.psalms.147.9
Heb,11,3,32,6,39,sahidica.hebrews.11.3,sahidic.psalms.32.6
Matt,5,7,17,25,38,sahidica.matthew.5.7,sahidic.psalms.17.25
Heb,2,12,21,22,38,sahidica.hebrews.2.12,sahidic.psalms.21.22
Heb,3,7,80,11,38,sahidica.hebrews.3.7,sahidic.psalms.80.11
Matt,22,44,109,1,37,sahidica.matthew.22.44,sahidic.psalms.109.1
Heb,13,8,89,4,37,sahidica.hebrews.13.8,sahidic.psalms.89.4
Matt,16,27,61,12,36,sahidica.matthew.16.27,sahidic.psalms.61.12
Heb,1,14,33,7,36,sahidica.hebrews.1.14,sahidic.psalms.33.7
Matt,5,5,24,9,35,sahidica.matthew.5.5,sahidic.psalms.24.9
Matt,5,6,62,1,35,sahidica.matthew.5.6,sahidic.psalms.62.1
Matt,5,6,62,2,35,sahidica.matthew.5.6,sahidic.psalms.62.2
Matt,7,7,49,15,35,sahidica.matthew.7.7,sahidic.psalms.49.15
Matt,11,28,37,4,35,sahidica.matthew.11.28,sahidic.psalms.37.4
Matt,5,8,14,2,34,sahidica.matthew.5.8,sahidic.psalms.14.2
Matt,7,11,83,11,34,sahidica.matthew.7.11,sahidic.psalms.83.11
Matt,16,18,124,1,34,sahidica.matthew.16.18,sahidic.psalms.124.1
Matt,16,18,124,2,34,sahidica.matthew.16.18,sahidic.psalms.124.2
Heb,13,15,106,21,34,sahidica.hebrews.13.15,sahidic.psalms.106.21
Heb,13,15,106,22,34,sahidica.hebrews.13.15,sahidic.psalms.106.22
Matt,1,23,45,11,33,sahidica.matthew.1.23,sahidic.psalms.45.11
Matt,7,7,118,12,33,sahidica.matthew.7.7,sahidic.psalms.118.12
Matt,19,26,3,8,33,sahidica.matthew.19.26,sahidic.psalms.3.8
Heb,1,13,109,1,33,sahidica.hebrews.1.13,sahidic.psalms.109.1
Matt,5,8,72,1,32,sahidica.matthew.5.8,sahidic.psalms.72.1
Matt,7,7,85,5,31,sahidica.matthew.7.7,sahidic.psalms.85.5
Heb,1,14,102,20,31,sahidica.hebrews.1.14,sahidic.psalms.102.20
Heb,1,14,102,21,31,sahidica.hebrews.1.14,sahidic.psalms.102.21
Heb,4,12,44,3,31,sahidica.hebrews.4.12,sahidic.psalms.44.3
Matt,6,6,33,15,30,sahidica.matthew.6.6,sahidic.psalms.33.15
Matt,6,9,110,9,30,sahidica.matthew.6.9,sahidic.psalms.110.9
Matt,6,10,39,8,30,sahidica.matthew.6.10,sahidic.psalms.39.8
Matt,6,11,33,10,30,sahidica.matthew.6.11,sahidic.psalms.33.10
Matt,7,7,69,4,30,sahidica.matthew.7.7,sahidic.psalms.69.4
Matt,7,7,68,32,30,sahidica.matthew.7.7,sahidic.psalms.68.32
Heb,1,14,90,11,30,sahidica.hebrews.1.14,sahidic.psalms.90.11
Heb,1,14,90,12,30,sahidica.hebrews.1.14,sahidic.psalms.90.12
Heb,2,6,143,3,30,sahidica.hebrews.2.6,sahidic.psalms.143.3
Matt,6,26,144,15,29,sahidica.matthew.6.26,sahidic.psalms.144.15
Matt,6,26,144,16,29,sahidica.matthew.6.26,sahidic.psalms.144.16
Matt,8,8,106,20,29,sahidica.matthew.8.8,sahidic.psalms.106.20
Matt,28,20,45,7,29,sahidica.matthew.28.20,sahidic.psalms.45.7
Matt,7,23,6,8,28,sahidica.matthew.7.23,sahidic.psalms.6.8
Heb,1,12,101,26,28,sahidica.hebrews.1.12,sahidic.psalms.101.26
Heb,1,12,101,27,28,sahidica.hebrews.1.12,sahidic.psalms.101.27
Matt,4,7,77,18,27,sahidica.matthew.4.7,sahidic.psalms.77.18
Matt,11,28,93,13,27,sahidica.matthew.11.28,sahidic.psalms.93.13
Matt,16,26,48,7,27,sahidica.matthew.16.26,sahidic.psalms.48.7
Matt,16,26,48,8,27,sahidica.matthew.16.26,sahidic.psalms.48.8
Matt,27,35,21,18,27,sahidica.matthew.27.35,sahidic.psalms.21.18
Heb,13,15,49,14,27,sahidica.hebrews.13.15,sahidic.psalms.49.14
Matt,2,11,71,10,26,sahidica.matthew.2.11,sahidic.psalms.71.10
Matt,3,17,2,7,26,sahidica.matthew.3.17,sahidic.psalms.2.7
Matt,4,7,77,41,26,sahidica.matthew.4.7,sahidic.psalms.77.41
Matt,18,10,90,11,26,sahidica.matthew.18.10,sahidic.psalms.90.11
Matt,21,9,117,24,26,sahidica.matthew.21.9,sahidic.psalms.117.24
Matt,21,9,117,25,26,sahidica.matthew.21.9,sahidic.psalms.117.25
Matt,21,9,117,26,26,sahidica.matthew.21.9,sahidic.psalms.117.26
Matt,6,10,102,19,25,sahidica.matthew.6.10,sahidic.psalms.102.19
Matt,6,10,102,20,25,sahidica.matthew.6.10,sahidic.psalms.102.20
Matt,6,10,102,21,25,sahidica.matthew.6.10,sahidic.psalms.102.21
Matt,6,26,103,27,25,sahidica.matthew.6.26,sahidic.psalms.103.27
Matt,6,26,103,28,25,sahidica.matthew.6.26,sahidic.psalms.103.28
Matt,27,46,70,11,25,sahidica.matthew.27.46,sahidic.psalms.70.11
Heb,11,6,105,21,25,sahidica.hebrews.11.6,sahidic.psalms.105.21
Heb,11,6,105,22,25,sahidica.hebrews.11.6,sahidic.psalms.105.22
Heb,11,6,77,32,25,sahidica.hebrews.11.6,sahidic.psalms.77.32
Matt,5,43,138,21,23,sahidica.matthew.5.43,sahidic.psalms.138.21
Matt,5,43,138,22,23,sahidica.matthew.5.43,sahidic.psalms.138.22
Matt,6,11,32,18,23,sahidica.matthew.6.11,sahidic.psalms.32.18
Matt,6,11,32,19,23,sahidica.matthew.6.11,sahidic.psalms.32.19
Matt,7,8,80,10,23,sahidica.matthew.7.8,sahidic.psalms.80.10
Matt,16,16,2,7,23,sahidica.matthew.16.16,sahidic.psalms.2.7
Matt,28,19,97,2,23,sahidica.matthew.28.19,sahidic.psalms.97.2
Matt,28,19,97,3,23,sahidica.matthew.28.19,sahidic.psalms.97.3
Heb,2,7,8,5,23,sahidica.hebrews.2.7,sahidic.psalms.8.5
Heb,12,6,118,75,23,sahidica.hebrews.12.6,sahidic.psalms.118.75
Heb,12,11,117,18,23,sahidica.hebrews.12.11,sahidic.psalms.117.18
Matt,1,23,45,7,22,sahidica.matthew.1.23,sahidic.psalms.45.7
Matt,5,18,118,89,22,sahidica.matthew.5.18,sahidic.psalms.118.89
Matt,5,18,118,90,22,sahidica.matthew.5.18,sahidic.psalms.118.90
Matt,8,8,32,9,22,sahidica.matthew.8.8,sahidic.psalms.32.9
Matt,18,3,130,2,22,sahidica.matthew.18.3,sahidic.psalms.130.2
Matt,28,19,21,27,22,sahidica.matthew.28.19,sahidic.psalms.21.27
