nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,13,6,117,6,308,sahidica.hebrews.13.6,sahidic.psalms.117.6
Heb,13,6,117,7,308,sahidica.hebrews.13.6,sahidic.psalms.117.7
Heb,13,6,117,8,308,sahidica.hebrews.13.6,sahidic.psalms.117.8
Heb,13,6,117,9,308,sahidica.hebrews.13.6,sahidic.psalms.117.9
Heb,13,6,26,1,221,sahidica.hebrews.13.6,sahidic.psalms.26.1
Heb,13,6,26,2,221,sahidica.hebrews.13.6,sahidic.psalms.26.2
Heb,13,6,26,3,221,sahidica.hebrews.13.6,sahidic.psalms.26.3
Heb,13,6,123,8,172,sahidica.hebrews.13.6,sahidic.psalms.123.8
Heb,13,6,55,4,159,sahidica.hebrews.13.6,sahidic.psalms.55.4
Heb,3,7,94,7,136,sahidica.hebrews.3.7,sahidic.psalms.94.7
Heb,3,7,94,8,136,sahidica.hebrews.3.7,sahidic.psalms.94.8
Heb,3,7,94,9,136,sahidica.hebrews.3.7,sahidic.psalms.94.9
Heb,3,7,94,10,136,sahidica.hebrews.3.7,sahidic.psalms.94.10
Heb,3,7,94,11,136,sahidica.hebrews.3.7,sahidic.psalms.94.11
Heb,13,6,55,11,134,sahidica.hebrews.13.6,sahidic.psalms.55.11
Heb,13,6,55,12,134,sahidica.hebrews.13.6,sahidic.psalms.55.12
Heb,13,6,53,4,130,sahidica.hebrews.13.6,sahidic.psalms.53.4
Heb,13,6,32,20,123,sahidica.hebrews.13.6,sahidic.psalms.32.20
Heb,13,6,62,7,118,sahidica.hebrews.13.6,sahidic.psalms.62.7
Heb,4,12,118,130,111,sahidica.hebrews.4.12,sahidic.psalms.118.130
Heb,13,6,93,17,106,sahidica.hebrews.13.6,sahidic.psalms.93.17
Heb,13,6,39,17,105,sahidica.hebrews.13.6,sahidic.psalms.39.17
Heb,1,8,44,6,92,sahidica.hebrews.1.8,sahidic.psalms.44.6
Heb,1,8,44,7,92,sahidica.hebrews.1.8,sahidic.psalms.44.7
Heb,13,6,26,9,87,sahidica.hebrews.13.6,sahidic.psalms.26.9
Heb,11,6,104,3,85,sahidica.hebrews.11.6,sahidic.psalms.104.3
Heb,11,6,104,4,85,sahidica.hebrews.11.6,sahidic.psalms.104.4
Heb,13,6,113,1,85,sahidica.hebrews.13.6,sahidic.psalms.113.1
Heb,13,6,113,2,85,sahidica.hebrews.13.6,sahidic.psalms.113.2
Heb,13,6,113,3,85,sahidica.hebrews.13.6,sahidic.psalms.113.3
Heb,13,6,113,4,85,sahidica.hebrews.13.6,sahidic.psalms.113.4
Heb,13,6,113,5,85,sahidica.hebrews.13.6,sahidic.psalms.113.5
Heb,13,6,113,6,85,sahidica.hebrews.13.6,sahidic.psalms.113.6
Heb,13,6,113,7,85,sahidica.hebrews.13.6,sahidic.psalms.113.7
Heb,13,6,113,8,85,sahidica.hebrews.13.6,sahidic.psalms.113.8
Heb,13,6,113,9,85,sahidica.hebrews.13.6,sahidic.psalms.113.9
Heb,13,6,113,10,85,sahidica.hebrews.13.6,sahidic.psalms.113.10
Heb,13,6,113,11,85,sahidica.hebrews.13.6,sahidic.psalms.113.11
Heb,13,6,113,12,85,sahidica.hebrews.13.6,sahidic.psalms.113.12
Heb,13,6,113,13,85,sahidica.hebrews.13.6,sahidic.psalms.113.13
Heb,13,6,113,14,85,sahidica.hebrews.13.6,sahidic.psalms.113.14
Heb,13,6,113,15,85,sahidica.hebrews.13.6,sahidic.psalms.113.15
Heb,13,6,113,16,85,sahidica.hebrews.13.6,sahidic.psalms.113.16
Heb,13,6,113,17,85,sahidica.hebrews.13.6,sahidic.psalms.113.17
Heb,13,6,113,18,85,sahidica.hebrews.13.6,sahidic.psalms.113.18
Heb,13,6,113,19,85,sahidica.hebrews.13.6,sahidic.psalms.113.19
Heb,13,6,113,20,85,sahidica.hebrews.13.6,sahidic.psalms.113.20
Heb,13,6,113,21,85,sahidica.hebrews.13.6,sahidic.psalms.113.21
Heb,13,6,113,22,85,sahidica.hebrews.13.6,sahidic.psalms.113.22
Heb,13,6,113,23,85,sahidica.hebrews.13.6,sahidic.psalms.113.23
Heb,13,6,113,24,85,sahidica.hebrews.13.6,sahidic.psalms.113.24
Heb,13,6,113,25,85,sahidica.hebrews.13.6,sahidic.psalms.113.25
Heb,13,6,113,26,85,sahidica.hebrews.13.6,sahidic.psalms.113.26
Heb,11,1,26,13,80,sahidica.hebrews.11.1,sahidic.psalms.26.13
Heb,13,6,145,3,79,sahidica.hebrews.13.6,sahidic.psalms.145.3
Heb,13,5,36,25,76,sahidica.hebrews.13.5,sahidic.psalms.36.25
Heb,1,5,2,7,70,sahidica.hebrews.1.5,sahidic.psalms.2.7
Heb,13,6,17,1,68,sahidica.hebrews.13.6,sahidic.psalms.17.1
Heb,13,6,17,2,68,sahidica.hebrews.13.6,sahidic.psalms.17.2
Heb,11,6,118,10,66,sahidica.hebrews.11.6,sahidic.psalms.118.10
Heb,13,8,89,2,61,sahidica.hebrews.13.8,sahidic.psalms.89.2
Heb,13,8,101,27,61,sahidica.hebrews.13.8,sahidic.psalms.101.27
Heb,13,8,101,28,61,sahidica.hebrews.13.8,sahidic.psalms.101.28
Heb,10,36,36,7,56,sahidica.hebrews.10.36,sahidic.psalms.36.7
Heb,10,7,39,7,55,sahidica.hebrews.10.7,sahidic.psalms.39.7
Heb,10,7,39,8,55,sahidica.hebrews.10.7,sahidic.psalms.39.8
Heb,11,1,41,11,55,sahidica.hebrews.11.1,sahidic.psalms.41.11
Heb,3,7,80,13,54,sahidica.hebrews.3.7,sahidic.psalms.80.13
Heb,4,12,149,6,51,sahidica.hebrews.4.12,sahidic.psalms.149.6
Heb,1,7,103,4,46,sahidica.hebrews.1.7,sahidic.psalms.103.4
Heb,1,10,101,25,45,sahidica.hebrews.1.10,sahidic.psalms.101.25
Heb,1,10,101,26,45,sahidica.hebrews.1.10,sahidic.psalms.101.26
Heb,1,10,101,27,45,sahidica.hebrews.1.10,sahidic.psalms.101.27
Heb,10,5,39,6,45,sahidica.hebrews.10.5,sahidic.psalms.39.6
Heb,10,5,39,7,45,sahidica.hebrews.10.5,sahidic.psalms.39.7
Heb,10,5,39,8,45,sahidica.hebrews.10.5,sahidic.psalms.39.8
Heb,13,5,36,28,45,sahidica.hebrews.13.5,sahidic.psalms.36.28
Heb,13,8,102,17,44,sahidica.hebrews.13.8,sahidic.psalms.102.17
Heb,11,6,72,28,42,sahidica.hebrews.11.6,sahidic.psalms.72.28
Heb,2,6,8,4,41,sahidica.hebrews.2.6,sahidic.psalms.8.4
Heb,2,6,8,5,41,sahidica.hebrews.2.6,sahidic.psalms.8.5
Heb,2,6,8,6,41,sahidica.hebrews.2.6,sahidic.psalms.8.6
Heb,2,6,8,7,41,sahidica.hebrews.2.6,sahidic.psalms.8.7
Heb,2,6,8,8,41,sahidica.hebrews.2.6,sahidic.psalms.8.8
Heb,4,13,32,13,41,sahidica.hebrews.4.13,sahidic.psalms.32.13
Heb,4,13,32,14,41,sahidica.hebrews.4.13,sahidic.psalms.32.14
Heb,4,13,32,15,41,sahidica.hebrews.4.13,sahidic.psalms.32.15
Heb,1,9,44,7,40,sahidica.hebrews.1.9,sahidic.psalms.44.7
Heb,4,12,138,2,40,sahidica.hebrews.4.12,sahidic.psalms.138.2
Heb,11,3,32,6,39,sahidica.hebrews.11.3,sahidic.psalms.32.6
Heb,2,12,21,22,38,sahidica.hebrews.2.12,sahidic.psalms.21.22
Heb,3,7,80,11,38,sahidica.hebrews.3.7,sahidic.psalms.80.11
Heb,13,8,89,4,37,sahidica.hebrews.13.8,sahidic.psalms.89.4
Heb,1,14,33,7,36,sahidica.hebrews.1.14,sahidic.psalms.33.7
Heb,13,15,106,21,34,sahidica.hebrews.13.15,sahidic.psalms.106.21
Heb,13,15,106,22,34,sahidica.hebrews.13.15,sahidic.psalms.106.22
Heb,1,13,109,1,33,sahidica.hebrews.1.13,sahidic.psalms.109.1
Heb,1,14,102,20,31,sahidica.hebrews.1.14,sahidic.psalms.102.20
Heb,1,14,102,21,31,sahidica.hebrews.1.14,sahidic.psalms.102.21
Heb,4,12,44,3,31,sahidica.hebrews.4.12,sahidic.psalms.44.3
Heb,1,14,90,11,30,sahidica.hebrews.1.14,sahidic.psalms.90.11
Heb,1,14,90,12,30,sahidica.hebrews.1.14,sahidic.psalms.90.12
Heb,2,6,143,3,30,sahidica.hebrews.2.6,sahidic.psalms.143.3
Heb,1,12,101,26,28,sahidica.hebrews.1.12,sahidic.psalms.101.26
Heb,1,12,101,27,28,sahidica.hebrews.1.12,sahidic.psalms.101.27
Heb,13,15,49,14,27,sahidica.hebrews.13.15,sahidic.psalms.49.14
Heb,11,6,105,21,25,sahidica.hebrews.11.6,sahidic.psalms.105.21
Heb,11,6,105,22,25,sahidica.hebrews.11.6,sahidic.psalms.105.22
Heb,11,6,77,32,25,sahidica.hebrews.11.6,sahidic.psalms.77.32
Heb,2,7,8,5,23,sahidica.hebrews.2.7,sahidic.psalms.8.5
Heb,12,6,118,75,23,sahidica.hebrews.12.6,sahidic.psalms.118.75
Heb,12,11,117,18,23,sahidica.hebrews.12.11,sahidic.psalms.117.18
Heb,4,3,94,11,22,sahidica.hebrews.4.3,sahidic.psalms.94.11
Heb,5,6,109,4,22,sahidica.hebrews.5.6,sahidic.psalms.109.4
Heb,11,6,57,11,22,sahidica.hebrews.11.6,sahidic.psalms.57.11
Heb,4,13,43,21,21,sahidica.hebrews.4.13,sahidic.psalms.43.21
Heb,5,5,2,7,21,sahidica.hebrews.5.5,sahidic.psalms.2.7
Heb,7,21,109,4,21,sahidica.hebrews.7.21,sahidic.psalms.109.4
Heb,11,6,105,24,21,sahidica.hebrews.11.6,sahidic.psalms.105.24
Heb,11,6,77,22,21,sahidica.hebrews.11.6,sahidic.psalms.77.22
Heb,12,5,93,12,21,sahidica.hebrews.12.5,sahidic.psalms.93.12
Heb,12,14,33,14,21,sahidica.hebrews.12.14,sahidic.psalms.33.14
Heb,1,6,96,7,20,sahidica.hebrews.1.6,sahidic.psalms.96.7
Heb,4,7,94,7,20,sahidica.hebrews.4.7,sahidic.psalms.94.7
