nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,13,6,117,6,308,sahidica.hebrews.13.6,sahidic.psalms.117.6
Heb,3,7,94,7,136,sahidica.hebrews.3.7,sahidic.psalms.94.7
Heb,4,12,118,130,111,sahidica.hebrews.4.12,sahidic.psalms.118.130
Heb,1,8,44,6,92,sahidica.hebrews.1.8,sahidic.psalms.44.6
Heb,11,6,104,3,85,sahidica.hebrews.11.6,sahidic.psalms.104.3
Heb,11,1,26,13,80,sahidica.hebrews.11.1,sahidic.psalms.26.13
Heb,13,5,36,25,76,sahidica.hebrews.13.5,sahidic.psalms.36.25
Heb,1,5,2,7,70,sahidica.hebrews.1.5,sahidic.psalms.2.7
Heb,13,8,89,2,61,sahidica.hebrews.13.8,sahidic.psalms.89.2
Heb,10,36,36,7,56,sahidica.hebrews.10.36,sahidic.psalms.36.7
Heb,10,7,39,7,55,sahidica.hebrews.10.7,sahidic.psalms.39.7
