rank,score,channels,quotation_run_tokens,bible_ref,bible_text,shenoute_ref,shenoute_text,label,notes
1,254.8,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",31,sahidica.acts_of_the_apostles.20.32,[Sahidica text omitted per license; see sahidica.acts_of_the_apostles.20.32],shenoute.abraham.249,ϫⲉϯϯ ⲙⲙⲱⲧⲛ ⲉⲧⲟⲟⲧϥ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲛⲡϣⲁϫⲉ ⲛⲧⲉϥⲭⲁⲣⲓⲥ · ⲡⲉⲧⲉⲩⲛϭⲟⲙ ⲙⲙⲟϥ ⲉⲕⲱⲧ ⲙⲙⲱⲧⲛ ⲁⲩⲱ ⲉϯ ⲛⲏⲧⲛ ⲛⲧⲉⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲙⲛⲛⲉⲧⲟⲩⲁⲁⲃ ⲧⲏⲣⲟⲩ ·,,
2,190.65,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",23,sahidic.genesis.21.10,ⲡⲉϫⲁⲥ ⲛⲁⲃⲣⲁϩⲁⲙ ϫⲉⲛⲟⲩϫⲉ ⲉⲃⲟⲗ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲉⲥϣⲏⲣⲉ ⲛⲛⲉϥⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ ⲅⲁⲣ ⲛϭⲓⲡϣⲏⲣⲉ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲁϣⲏⲣⲉ ⲓⲥⲁⲁⲕ,shenoute.abraham.41,ⲉⲧⲃⲉⲡⲁⲓ ⲣⲱ ⲁⲥϫⲟⲟⲥ ϩⲛⲟⲩⲡⲁⲣⲣⲏⲥⲓⲁ ϩⲙⲡⲥⲟⲟⲩⲛ ⲙⲡⲛⲟⲩⲧⲉ ⲛϭⲓⲧⲙⲁⲁⲩ ⲙⲡϣⲏⲣⲉ ⲉⲧⲟⲓ ⲛⲧⲟⲟⲧⲥ · ϫⲉⲛⲟⲩϫⲉ ⲉⲃⲟⲗ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲉⲥϣⲏⲣⲉ · ⲛⲛⲉϥⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ ⲅⲁⲣ ⲛϭⲓⲡϣⲏⲣⲉ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲁϣⲏⲣⲉ ⲓⲥⲁⲁⲕ ·,,
3,187.29,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",22,sahidica.matthew.19.29,[Sahidica text omitted per license; see sahidica.matthew.19.29],shenoute.abraham.286,"ϫⲉⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲛⲧⲁϥⲕⲁⲏⲓ ⲛⲥⲱϥ · ⲏ ⲥⲟⲛ . ⲏ ⲥⲱⲛⲉ · ⲏ ⲉⲓⲱⲧ · ⲏ ⲙⲁⲁⲩ · ⲏ ⲥϩⲓⲙⲉ · ⲏ ϣⲏⲣⲉ · ⲏ ϣⲉⲉⲣⲉ · ⲏ ⲥⲱϣⲉ , ⲉⲧⲃⲉⲡⲁⲣⲁⲛ . ϥⲛⲁϫⲓⲧⲟⲩ ⲛϩⲁϩ ⲛⲕⲱⲃ ⲁⲩⲱ ⲛϥⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ , ⲙⲡⲱⲛϩ ϣⲁⲉⲛⲉϩ :",,
4,152.78,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",20,sahidica.john.15.15,[Sahidica text omitted per license; see sahidica.john.15.15],shenoute.abraham.19,ⲁⲗⲗⲁ ⲉⲓⲛⲁⲙⲟⲩⲧⲉ ⲉⲣⲱⲧⲛ ϫⲉⲛⲁⲥⲛⲏⲩ ⲁⲩⲱ ⲛⲁϣⲃⲉⲉⲣ · ϫⲉⲛⲉⲛⲧⲁⲓⲥⲟⲧⲙⲟⲩ ⲧⲏⲣⲟⲩ ⲛⲧⲉⲡⲁⲉⲓⲱⲧ ⲁⲓⲧⲁⲙⲱⲧⲛ ⲉⲣⲟⲟⲩ ·,,
5,152.77,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",20,sahidica.john.15.15,[Sahidica text omitted per license; see sahidica.john.15.15],shenoute.abraham.133,ⲁⲗⲗⲁ ⲉⲓⲛⲁⲙⲟⲩⲧⲉ ⲉⲣⲱⲧⲛ ϫⲉⲛⲁⲥⲛⲏⲩ ⲁⲩⲱ ⲛⲁϣⲃⲉⲉⲣ · ϫⲉⲛⲉⲛⲧⲁⲓⲥⲟⲧⲙⲟⲩ ⲧⲏⲣⲟⲩ ⲛⲧⲉⲡⲁⲉⲓⲱⲧ ⲁⲓⲧⲁⲙⲱⲧⲛ ⲉⲣⲟⲟⲩ ·,,
6,133.16,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",16,sahidic.isaiah.56.5,ϯⲛⲁϫⲓⲧⲟⲩ ⲉϩⲟⲩⲛ ⲉⲡⲁⲧⲟⲟⲩ ⲉⲧⲟⲩⲁⲁⲃ ⲁⲩⲱ ϯⲛⲁϯ ⲛⲁⲩ ϩⲙⲡⲁⲏⲓ ⲁⲩⲱ ϩⲙⲡⲁⲥⲟⲃⲧ ⲛⲟⲩⲙⲁ ⲉϥⲥⲟⲧⲡ ⲁⲩⲱ ⲛⲥⲟⲉⲓⲧ ⲉⲛⲁⲛⲟⲩϥ ⲉϣⲏⲣⲉ ϩⲓϣⲉⲉⲣⲉ ⲟⲩⲣⲁⲛ ⲛϣⲁ ⲉⲛⲉϩ ϯⲛⲁⲧⲁⲁϥ ⲛⲁⲩ ⲁⲩⲱ ⲛⲛⲉϥⲱϫⲛ,shenoute.abraham.82,ϫⲉⲡϫⲟⲉⲓⲥ ⲛⲁϯ ⲛϩⲉⲛⲥⲓⲟⲩⲣ ⲙⲛⲙⲡⲁⲣⲑⲉⲛⲟⲥ ⲛⲟⲩⲙⲁ ⲉϥⲥⲟⲧⲡ ⲁⲩⲱ ⲛⲥⲟⲉⲓⲧ ⲉⲛⲁⲛⲟⲩϥ ⲉϣⲏⲣⲉ ϩⲓϣⲉⲉⲣⲉ ·,,
7,129.74,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",16,sahidic.psalms.108.18,ⲁϥϯⲡⲥⲁϩⲟⲩ ϩⲓⲱⲱϥ ⲛⲧϩⲉ ⲛⲟⲩϩⲟⲓⲧⲉ ⲁϥⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲛⲉϥⲙⲁϩⲧ ⲛⲧϩⲉ ⲛⲟⲩⲙⲟⲟⲩ ⲁⲩⲱ ⲛⲧϩⲉ ⲛⲟⲩⲛⲉϩ ϩⲛⲛⲉϥⲕⲉⲉⲥ,shenoute.abraham.227,ϫⲉⲙⲁⲣⲉⲡⲥⲁϩⲟⲩ ⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉϩⲏⲧϥ ⲛⲧϩⲉ ⲛⲟⲩⲙⲟⲟⲩ · ⲁⲩⲱ ⲛⲧϩⲉ ⲛⲟⲩⲛⲉϩ ϩⲛⲛⲉϥⲕⲉⲉⲥ ·,,
8,127.57,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",14,sahidica.luke.14.26,[Sahidica text omitted per license; see sahidica.luke.14.26],shenoute.abraham.277,"ϫⲉⲡⲉⲧⲛⲏⲩ ϣⲁⲣⲟⲓ , ⲉϥⲙⲟⲥⲧⲉ ⲙⲡⲉϥⲉⲓⲱⲧ ⲙⲛⲧⲉϥⲙⲁⲁⲩ · ⲙⲛⲛⲉϥϣⲏⲣⲉ · ⲙⲛⲛⲉϥⲥⲛⲏⲩ ⲙⲛⲛⲉϥⲥⲱⲛⲉ , ⲉⲧⲓ ⲇⲉ ⲧⲉϥⲕⲉⲯⲩⲭⲏ",,
9,115.5,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",13,sahidica.john.15.15,[Sahidica text omitted per license; see sahidica.john.15.15],shenoute.abraham.18,ⲉⲧⲃⲉⲡⲁⲓ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉⲛϯⲛⲁⲙⲟⲩⲧⲉ ϭⲉ ⲁⲛ ⲉⲣⲱⲧⲛ ϫⲉⲛⲁϩⲙϩⲁⲗ ϫⲉⲙⲡϩⲙϩⲁⲗ ⲥⲟⲟⲩⲛ ⲁⲛ ϫⲉⲟⲩ ⲡⲉⲧⲉⲣⲉⲡⲉϥϫⲟⲉⲓⲥ ⲉⲓⲣⲉ ⲙⲙⲟϥ ·,,
10,114.3,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",13,sahidica.john.15.15,[Sahidica text omitted per license; see sahidica.john.15.15],shenoute.abraham.132,ⲉⲧⲃⲉⲡⲁⲓ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉϯⲛⲁⲙⲟⲩⲧⲉ ϭⲉ ⲁⲛ ⲉⲣⲱⲧⲛ ϫⲓⲛⲧⲉⲛⲟⲩ ϫⲉⲛⲁϩⲙϩⲁⲗ · ϫⲉⲙⲡϩⲙϩⲁⲗ ⲥⲟⲟⲩⲛ ⲁⲛ ϫⲉⲟⲩ ⲡⲉⲧⲉⲣⲉⲡⲉϥϫⲟⲉⲓⲥ ⲉⲓⲣⲉ ⲙⲙⲟϥ ·,,
